experiment_id,iteration_id,iteration_number,iteration_status,population_seed,calibration_seed,parameter_seed,take_up_seed,policy_seed,sampled_parameters,error_code,warning_count,population_size,household_count,population_quality_score,calibration_converged,calibration_error,weighted_population,policy_id,policy_version,eligible_count,weighted_eligible_population,eligibility_rate,beneficiary_count,weighted_beneficiary_population,coverage_rate,total_policy_cost,average_benefit,budget_utilization,budget_exceeded,constraints_passed,policy_feasible,execution_duration_seconds,started_at,completed_at
tn_exp_001_pop_uncertainty,ITER-tn_exp_001_pop_uncertainty-00001,1,COMPLETED,1031522107,902316618,1951937180,372570535,177970022,{},,0,12000,1,1.0,True,0.000373,12000.0,tn_elderly_pension_001,1.0,1835,1842.75,0.1536,1835,1842.75,1.0,33169432.91,18000.0,0.66,False,True,True,0.3755,2026-09-13T18:25:36.046046+00:00,2026-09-13T18:25:36.421604+00:00
tn_exp_001_pop_uncertainty,ITER-tn_exp_001_pop_uncertainty-00002,2,COMPLETED,724394268,460727417,243893816,1594960637,1406802559,{},,0,12000,1,1.0,True,0.000373,12000.0,tn_elderly_pension_001,1.0,1835,1842.75,0.1536,1835,1842.75,1.0,33169432.91,18000.0,0.66,False,True,True,0.3451,2026-09-13T18:25:36.436196+00:00,2026-09-13T18:25:36.781289+00:00
tn_exp_001_pop_uncertainty,ITER-tn_exp_001_pop_uncertainty-00003,3,COMPLETED,874833982,620358627,642046921,556283421,64583777,{},,0,12000,1,1.0,True,0.000373,12000.0,tn_elderly_pension_001,1.0,1835,1842.75,0.1536,1835,1842.75,1.0,33169432.91,18000.0,0.66,False,True,True,0.3782,2026-09-13T18:25:36.794399+00:00,2026-09-13T18:25:37.172600+00:00
tn_exp_001_pop_uncertainty,ITER-tn_exp_001_pop_uncertainty-00004,4,COMPLETED,103591515,905507903,602005274,334622079,813581961,{},,0,12000,1,1.0,True,0.000373,12000.0,tn_elderly_pension_001,1.0,1835,1842.75,0.1536,1835,1842.75,1.0,33169432.91,18000.0,0.66,False,True,True,0.3476,2026-09-13T18:25:37.186137+00:00,2026-09-13T18:25:37.533752+00:00
tn_exp_001_pop_uncertainty,ITER-tn_exp_001_pop_uncertainty-00005,5,COMPLETED,660905527,1012192684,1444651792,1933756716,737353895,{},,0,12000,1,1.0,True,0.000373,12000.0,tn_elderly_pension_001,1.0,1835,1842.75,0.1536,1835,1842.75,1.0,33169432.91,18000.0,0.66,False,True,True,0.3368,2026-09-13T18:25:37.546105+00:00,2026-09-13T18:25:37.882941+00:00
tn_exp_001_pop_uncertainty,ITER-tn_exp_001_pop_uncertainty-00006,6,COMPLETED,907677185,864305852,1260107815,1233464900,1450684874,{},,0,12000,1,1.0,True,0.000373,12000.0,tn_elderly_pension_001,1.0,1835,1842.75,0.1536,1835,1842.75,1.0,33169432.91,18000.0,0.66,False,True,True,0.3618,2026-09-13T18:25:37.894954+00:00,2026-09-13T18:25:38.256815+00:00
tn_exp_001_pop_uncertainty,ITER-tn_exp_001_pop_uncertainty-00007,7,COMPLETED,1229079868,1437261967,1908745762,2030151880,1672077403,{},,0,12000,1,1.0,True,0.000373,12000.0,tn_elderly_pension_001,1.0,1835,1842.75,0.1536,1835,1842.75,1.0,33169432.91,18000.0,0.66,False,True,True,0.3795,2026-09-13T18:25:38.271170+00:00,2026-09-13T18:25:38.650634+00:00
tn_exp_001_pop_uncertainty,ITER-tn_exp_001_pop_uncertainty-00008,8,COMPLETED,463843571,488012127,1988184176,472256887,102347185,{},,0,12000,1,1.0,True,0.000373,12000.0,tn_elderly_pension_001,1.0,1835,1842.75,0.1536,1835,1842.75,1.0,33169432.91,18000.0,0.66,False,True,True,0.3692,2026-09-13T18:25:38.662870+00:00,2026-09-13T18:25:39.032066+00:00
tn_exp_001_pop_uncertainty,ITER-tn_exp_001_pop_uncertainty-00009,9,COMPLETED,1324330652,2143990690,654058353,1990091534,1453818493,{},,0,12000,1,1.0,True,0.000373,12000.0,tn_elderly_pension_001,1.0,1835,1842.75,0.1536,1835,1842.75,1.0,33169432.91,18000.0,0.66,False,True,True,0.3462,2026-09-13T18:25:39.044038+00:00,2026-09-13T18:25:39.390290+00:00
tn_exp_001_pop_uncertainty,ITER-tn_exp_001_pop_uncertainty-00010,10,COMPLETED,1411743509,637261278,1526525502,1694567774,670524011,{},,0,12000,1,1.0,True,0.000373,12000.0,tn_elderly_pension_001,1.0,1835,1842.75,0.1536,1835,1842.75,1.0,33169432.91,18000.0,0.66,False,True,True,0.3342,2026-09-13T18:25:39.402910+00:00,2026-09-13T18:25:39.737151+00:00
tn_exp_001_pop_uncertainty,ITER-tn_exp_001_pop_uncertainty-00011,11,COMPLETED,1955463894,138627618,1222060934,282073933,653843029,{},,0,12000,1,1.0,True,0.000373,12000.0,tn_elderly_pension_001,1.0,1835,1842.75,0.1536,1835,1842.75,1.0,33169432.91,18000.0,0.66,False,True,True,0.3283,2026-09-13T18:25:39.750992+00:00,2026-09-13T18:25:40.079327+00:00
tn_exp_001_pop_uncertainty,ITER-tn_exp_001_pop_uncertainty-00012,12,COMPLETED,1587763158,369944758,1104166998,884736305,371972885,{},,0,12000,1,1.0,True,0.000373,12000.0,tn_elderly_pension_001,1.0,1835,1842.75,0.1536,1835,1842.75,1.0,33169432.91,18000.0,0.66,False,True,True,0.3184,2026-09-13T18:25:40.089870+00:00,2026-09-13T18:25:40.408291+00:00
