experiment_id,iteration_id,iteration_number,iteration_status,population_seed,calibration_seed,parameter_seed,take_up_seed,policy_seed,sampled_parameters,error_code,warning_count,population_size,household_count,population_quality_score,calibration_converged,calibration_error,weighted_population,policy_id,policy_version,eligible_count,weighted_eligible_population,eligibility_rate,beneficiary_count,weighted_beneficiary_population,coverage_rate,total_policy_cost,average_benefit,budget_utilization,budget_exceeded,constraints_passed,policy_feasible,execution_duration_seconds,started_at,completed_at
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00001,1,COMPLETED,1071238884,61800541,1019832155,373927223,1971560669,"{'benefit_amount': 1500, 'total_budget': 5070408.1173, 'maximum_beneficiaries': 553.2786}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,153,152.79,0.8085,2750278.77,18000.0,54.24,False,True,True,0.6105,2026-09-13T18:25:47.785163+00:00,2026-09-13T18:25:48.395653+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00002,2,COMPLETED,1873651203,1026176888,1533382229,436328040,2111947579,"{'benefit_amount': 2500, 'total_budget': 4973102.5085, 'maximum_beneficiaries': 1224.48}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,143,143.03,0.7568,4290855.11,30000.0,86.28,False,False,True,0.486,2026-09-13T18:25:48.412961+00:00,2026-09-13T18:25:48.898998+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00003,3,COMPLETED,1828040066,2120661440,1418858480,1361649882,820792352,"{'benefit_amount': 1500, 'total_budget': 4863758.6863, 'maximum_beneficiaries': 864.1616}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,158,157.99,0.836,2843817.48,18000.0,58.47,False,True,True,0.5208,2026-09-13T18:25:48.922508+00:00,2026-09-13T18:25:49.443345+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00004,4,COMPLETED,656379668,1025923698,2082492931,707866025,1125251675,"{'benefit_amount': 1500, 'total_budget': 4758850.0197, 'maximum_beneficiaries': 592.7612}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,170,169.79,0.8984,3056202.58,18000.0,64.22,False,True,True,0.6183,2026-09-13T18:25:49.463070+00:00,2026-09-13T18:25:50.081350+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00005,5,COMPLETED,812019903,1139595695,357499404,1604127746,1343832542,"{'benefit_amount': 2000, 'total_budget': 3931980.0108, 'maximum_beneficiaries': 1233.851}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,131,130.43,0.6901,3130236.13,24000.0,79.61,False,False,True,0.5285,2026-09-13T18:25:50.098771+00:00,2026-09-13T18:25:50.627292+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00006,6,COMPLETED,1102239214,830768682,2104086457,1456848552,189769940,"{'benefit_amount': 2000, 'total_budget': 4827975.507, 'maximum_beneficiaries': 1467.1306}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,161,161.16,0.8527,3867777.38,24000.0,80.11,False,True,True,0.5932,2026-09-13T18:25:50.650869+00:00,2026-09-13T18:25:51.244142+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00007,7,COMPLETED,693610293,812615650,1602275238,1184439944,624801544,"{'benefit_amount': 2000, 'total_budget': 3384606.4296, 'maximum_beneficiaries': 834.859}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,117,116.97,0.6189,2807351.76,24000.0,82.94,False,False,True,0.749,2026-09-13T18:25:51.268177+00:00,2026-09-13T18:25:52.017218+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00008,8,COMPLETED,1630335765,1260629507,1883316542,1125827825,1816019202,"{'benefit_amount': 2500, 'total_budget': 5784215.9674, 'maximum_beneficiaries': 1430.3339}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,158,158.22,0.8372,4746504.6,30000.0,82.06,False,True,True,0.684,2026-09-13T18:25:52.046478+00:00,2026-09-13T18:25:52.730488+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00009,9,COMPLETED,555623750,600178758,2037905783,1806746289,243002536,"{'benefit_amount': 2500, 'total_budget': 5752564.4339, 'maximum_beneficiaries': 990.4951}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,159,158.93,0.841,4768042.27,30000.0,82.89,False,True,True,0.7311,2026-09-13T18:25:52.764588+00:00,2026-09-13T18:25:53.495692+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00010,10,COMPLETED,975873132,1978978290,1066099934,2030274418,20661713,"{'benefit_amount': 2000, 'total_budget': 4882021.1215, 'maximum_beneficiaries': 1457.0995}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,164,164.5,0.8704,3948102.91,24000.0,80.87,False,True,True,0.6741,2026-09-13T18:25:53.516630+00:00,2026-09-13T18:25:54.190718+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00011,11,COMPLETED,1902264019,1020684988,1645882856,101684597,1274122663,"{'benefit_amount': 2250, 'total_budget': 5119995.4883, 'maximum_beneficiaries': 1317.7966}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,160,160.37,0.8486,4330010.68,27000.0,84.57,False,True,True,0.5007,2026-09-13T18:25:54.211636+00:00,2026-09-13T18:25:54.712364+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00012,12,COMPLETED,1987697754,32128590,207999037,1223403699,909132286,"{'benefit_amount': 2250, 'total_budget': 4370061.8828, 'maximum_beneficiaries': 543.0513}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,134,133.69,0.7074,3609587.35,27000.0,82.6,False,False,True,0.5047,2026-09-13T18:25:54.737050+00:00,2026-09-13T18:25:55.241772+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00013,13,COMPLETED,638438555,1101384019,40199682,875692172,1716004445,"{'benefit_amount': 2500, 'total_budget': 4915927.8518, 'maximum_beneficiaries': 788.2911}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,143,143.37,0.7586,4301217.58,30000.0,87.5,False,False,True,0.513,2026-09-13T18:25:55.259786+00:00,2026-09-13T18:25:55.772820+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00014,14,COMPLETED,1313934599,1334951272,1421908362,2020314271,522996296,"{'benefit_amount': 1750, 'total_budget': 4656985.4973, 'maximum_beneficiaries': 991.912}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,160,159.24,0.8426,3343948.34,21000.0,71.8,False,True,True,0.5707,2026-09-13T18:25:55.794747+00:00,2026-09-13T18:25:56.365454+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00015,15,COMPLETED,1843900939,299981239,10339988,1329437997,1530347148,"{'benefit_amount': 2000, 'total_budget': 5679539.343, 'maximum_beneficiaries': 905.6784}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,157,156.72,0.8293,3761292.66,24000.0,66.23,False,True,True,0.6059,2026-09-13T18:25:56.389417+00:00,2026-09-13T18:25:56.995365+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00016,16,COMPLETED,1349161461,1862562740,206544049,929100792,1331258150,"{'benefit_amount': 1500, 'total_budget': 4631645.1887, 'maximum_beneficiaries': 1235.5174}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,153,153.03,0.8097,2754487.25,18000.0,59.47,False,True,True,0.5977,2026-09-13T18:25:57.021166+00:00,2026-09-13T18:25:57.618856+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00017,17,COMPLETED,231598524,1867464789,571113725,1541980805,1344205225,"{'benefit_amount': 2000, 'total_budget': 4627657.3484, 'maximum_beneficiaries': 876.2771}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,162,162.89,0.8619,3909341.62,24000.0,84.48,False,True,True,0.5167,2026-09-13T18:25:57.640163+00:00,2026-09-13T18:25:58.156885+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00018,18,COMPLETED,769163425,1092458855,100176746,837235137,1884323457,"{'benefit_amount': 1750, 'total_budget': 4173577.356, 'maximum_beneficiaries': 524.8935}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,156,155.6,0.8233,3267625.51,21000.0,78.29,False,True,True,0.6584,2026-09-13T18:25:58.178123+00:00,2026-09-13T18:25:58.836524+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00019,19,COMPLETED,888466265,438649444,1677014300,540789673,394305707,"{'benefit_amount': 1750, 'total_budget': 4435146.6777, 'maximum_beneficiaries': 1054.4905}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,163,163.36,0.8644,3430591.51,21000.0,77.35,False,True,True,0.7256,2026-09-13T18:25:58.860359+00:00,2026-09-13T18:25:59.585958+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00020,20,COMPLETED,2006444986,1018100824,2100182029,726658977,1352510761,"{'benefit_amount': 2000, 'total_budget': 3889997.774, 'maximum_beneficiaries': 1404.6044}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,136,135.72,0.7182,3257347.44,24000.0,83.74,False,False,True,0.6208,2026-09-13T18:25:59.612036+00:00,2026-09-13T18:26:00.232833+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00021,21,COMPLETED,1687449079,1043312539,746364456,1245321593,326796077,"{'benefit_amount': 2250, 'total_budget': 4942366.1345, 'maximum_beneficiaries': 601.5516}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,150,149.83,0.7928,4045357.43,27000.0,81.85,False,False,True,0.543,2026-09-13T18:26:00.251952+00:00,2026-09-13T18:26:00.794977+00:00
tn_exp_002_param_uncertainty,ITER-tn_exp_002_param_uncertainty-00022,22,COMPLETED,471972463,59433953,388037803,2052141018,1218339026,"{'benefit_amount': 2500, 'total_budget': 4806131.5758, 'maximum_beneficiaries': 649.2566}",,0,12000,1,1.0,True,0.0,12000.0,tn_youth_skilling_stipend_003,1.0,189,188.99,0.0157,129,128.97,0.6824,3869086.0,30000.0,80.5,False,False,True,0.5556,2026-09-13T18:26:00.812700+00:00,2026-09-13T18:26:01.368318+00:00
