experiment_id,iteration_id,iteration_number,iteration_status,population_seed,calibration_seed,parameter_seed,take_up_seed,policy_seed,sampled_parameters,error_code,warning_count,population_size,household_count,population_quality_score,calibration_converged,calibration_error,weighted_population,policy_id,policy_version,eligible_count,weighted_eligible_population,eligibility_rate,beneficiary_count,weighted_beneficiary_population,coverage_rate,total_policy_cost,average_benefit,budget_utilization,budget_exceeded,constraints_passed,policy_feasible,execution_duration_seconds,started_at,completed_at
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00001,1,COMPLETED,969082736,1899953704,2013730161,1855129929,765036121,"{'benefit_amount': 575.5974, 'total_budget': 36591250.9436}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,7275.87,6907.2,0.02,False,True,True,1.0308,2026-09-13T18:26:06.021411+00:00,2026-09-13T18:26:07.052256+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00002,2,COMPLETED,1803598153,1558580359,280217681,1073944110,565941285,"{'benefit_amount': 694.7368, 'total_budget': 47632545.7718}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,8781.86,8336.88,0.02,False,True,True,1.0346,2026-09-13T18:26:07.083694+00:00,2026-09-13T18:26:08.118335+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00003,3,COMPLETED,1939178754,1046231957,1111243918,992153794,1020783656,"{'benefit_amount': 622.7088, 'total_budget': 35284778.2657}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,7871.37,7472.52,0.02,False,True,True,0.8929,2026-09-13T18:26:08.138385+00:00,2026-09-13T18:26:09.031287+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00004,4,COMPLETED,1991243284,2131842428,531118276,1050855317,2096268739,"{'benefit_amount': 698.2098, 'total_budget': 41513484.1109}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,8825.73,8378.52,0.02,False,True,True,0.8666,2026-09-13T18:26:09.052594+00:00,2026-09-13T18:26:09.919165+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00005,5,COMPLETED,2018442648,389642396,454843947,2066326621,321079876,"{'benefit_amount': 637.7709, 'total_budget': 36015622.987}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,0,0,0.0,0,0.0,0.0,False,True,True,0.8158,2026-09-13T18:26:09.937518+00:00,2026-09-13T18:26:10.753391+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00006,6,COMPLETED,596672768,1942588535,304437746,724860058,364720547,"{'benefit_amount': 639.0735, 'total_budget': 40153212.7199}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,8078.17,7668.84,0.02,False,True,True,0.7967,2026-09-13T18:26:10.780522+00:00,2026-09-13T18:26:11.577269+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00007,7,COMPLETED,1292732874,474007193,1912520719,831868265,984337816,"{'benefit_amount': 693.5684, 'total_budget': 44124962.973}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,0,0,0.0,0,0.0,0.0,False,True,True,0.8554,2026-09-13T18:26:11.597819+00:00,2026-09-13T18:26:12.453254+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00008,8,COMPLETED,1096338382,494434079,411920519,335825587,1670976370,"{'benefit_amount': 596.9039, 'total_budget': 48835744.9032}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,7545.12,7162.8,0.02,False,True,True,0.8675,2026-09-13T18:26:12.471700+00:00,2026-09-13T18:26:13.339224+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00009,9,COMPLETED,2016853982,1892077940,1990341514,835943942,1862338629,"{'benefit_amount': 581.1243, 'total_budget': 47233812.7087}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,7345.65,6973.44,0.02,False,True,True,0.9447,2026-09-13T18:26:13.365032+00:00,2026-09-13T18:26:14.309789+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00010,10,COMPLETED,675596333,1678441179,935603362,779874794,648733639,"{'benefit_amount': 630.4095, 'total_budget': 35558060.1692}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,7968.7,7564.92,0.02,False,True,True,1.0307,2026-09-13T18:26:14.329162+00:00,2026-09-13T18:26:15.359888+00:00
