synthetic_person_id,district,district_code,urban_rural,age,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,individual_income,consumption_expenditure,social_group,base_weight,raw_calibration_weight,calibration_weight,normalized_weight,population_weight,synthetic_household_id,policy_id,policy_version,run_id,person_id,household_id,is_eligible,is_excluded,eligibility_status,eligibility_reason_codes,passed_rule_ids,failed_rule_ids,is_selected_beneficiary,selection_status,benefit_amount,annualized_benefit_amount,estimated_policy_cost
TN-SYN-P-000000061,Namakkal,08,Rural,24,Female,1,5,4,Regular wage/salary earning,Literate,Diploma/Certificate,Unemployed,Unemployed,0.0,10667.0,Other Backward Class,1.0,1.05622434506,1.05570913428,1.05570913428,1.05570913428,TN-HH-00000061,tn_youth_skilling_stipend_003,1.0,POLICY-RUN-ADF1BD64DB,TN-SYN-P-000000061,TN-HH-00000061,True,False,ELIGIBLE_ALL_RULES_PASSED,ELIGIBLE_ALL_RULES_PASSED,R_AGE_MIN;R_AGE_MAX;R_EMPLOYMENT,,True,SELECTED,2000.0,24000.0,25337.02
TN-SYN-P-000000093,Thoothukudi,26,Urban,22,Female,1,5,4,Self-employed in agriculture,Literate,Diploma/Certificate,Unemployed,Unemployed,0.0,21087.0,Other Backward Class,1.0,1.0223852304,1.02189038143,1.02189038143,1.02189038143,TN-HH-00000093,tn_youth_skilling_stipend_003,1.0,POLICY-RUN-ADF1BD64DB,TN-SYN-P-000000093,TN-HH-00000093,True,False,ELIGIBLE_ALL_RULES_PASSED,ELIGIBLE_ALL_RULES_PASSED,R_AGE_MIN;R_AGE_MAX;R_EMPLOYMENT,,True,SELECTED,2000.0,24000.0,24525.37
TN-SYN-P-000000117,Cuddalore,16,Urban,21,Female,1,5,4,Self-employed in agriculture,Literate,Diploma/Certificate,Unemployed,Unemployed,0.0,15400.0,Other Backward Class,1.0,1.0223852304,1.02189038143,1.02189038143,1.02189038143,TN-HH-00000117,tn_youth_skilling_stipend_003,1.0,POLICY-RUN-ADF1BD64DB,TN-SYN-P-000000117,TN-HH-00000117,True,False,ELIGIBLE_ALL_RULES_PASSED,ELIGIBLE_ALL_RULES_PASSED,R_AGE_MIN;R_AGE_MAX;R_EMPLOYMENT,,True,SELECTED,2000.0,24000.0,24525.37
TN-SYN-P-000000137,Chennai,02,Urban,26,Male,1,5,4,Self-employed in agriculture,Literate,Diploma/Certificate,Unemployed,Unemployed,0.0,43288.0,Other Backward Class,1.0,1.0201184824,1.01962499739,1.01962499739,1.01962499739,TN-HH-00000137,tn_youth_skilling_stipend_003,1.0,POLICY-RUN-ADF1BD64DB,TN-SYN-P-000000137,TN-HH-00000137,True,False,ELIGIBLE_ALL_RULES_PASSED,ELIGIBLE_ALL_RULES_PASSED,R_AGE_MIN;R_AGE_MAX;R_EMPLOYMENT,,True,SELECTED,2000.0,24000.0,24471.0
TN-SYN-P-000000184,Salem,07,Rural,28,Female,1,5,3,Others,Literate,Diploma/Certificate,Unemployed,Unemployed,0.0,16500.0,Other Backward Class,1.0,1.05622434506,1.05570913428,1.05570913428,1.05570913428,TN-HH-00000184,tn_youth_skilling_stipend_003,1.0,POLICY-RUN-ADF1BD64DB,TN-SYN-P-000000184,TN-HH-00000184,True,False,ELIGIBLE_ALL_RULES_PASSED,ELIGIBLE_ALL_RULES_PASSED,R_AGE_MIN;R_AGE_MAX;R_EMPLOYMENT,,True,SELECTED,2000.0,24000.0,25337.02
TN-SYN-P-000000219,Unknown,37,Rural,22,Male,1,5,5,Self-employed in agriculture,Literate,Diploma/Certificate,Unemployed,Unemployed,0.0,12180.0,Other Backward Class,1.0,1.05388257177,1.0533687701,1.0533687701,1.0533687701,TN-HH-00000219,tn_youth_skilling_stipend_003,1.0,POLICY-RUN-ADF1BD64DB,TN-SYN-P-000000219,TN-HH-00000219,True,False,ELIGIBLE_ALL_RULES_PASSED,ELIGIBLE_ALL_RULES_PASSED,R_AGE_MIN;R_AGE_MAX;R_EMPLOYMENT,,True,SELECTED,2000.0,24000.0,25280.85
TN-SYN-P-000000366,Chennai,02,Urban,28,Male,1,5,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Unemployed,Unemployed,0.0,28117.0,Other Backward Class,1.0,1.0201184824,1.01962499739,1.01962499739,1.01962499739,TN-HH-00000366,tn_youth_skilling_stipend_003,1.0,POLICY-RUN-ADF1BD64DB,TN-SYN-P-000000366,TN-HH-00000366,True,False,ELIGIBLE_ALL_RULES_PASSED,ELIGIBLE_ALL_RULES_PASSED,R_AGE_MIN;R_AGE_MAX;R_EMPLOYMENT,,True,SELECTED,2000.0,24000.0,24471.0
TN-SYN-P-000000384,The Nilgiris,10,Urban,21,Female,1,5,3,Self-employed in non-agriculture,Literate,Diploma/Certificate,Unemployed,Unemployed,0.0,35150.0,Other Backward Class,1.0,1.0223852304,1.02189038143,1.02189038143,1.02189038143,TN-HH-00000384,tn_youth_skilling_stipend_003,1.0,POLICY-RUN-ADF1BD64DB,TN-SYN-P-000000384,TN-HH-00000384,True,False,ELIGIBLE_ALL_RULES_PASSED,ELIGIBLE_ALL_RULES_PASSED,R_AGE_MIN;R_AGE_MAX;R_EMPLOYMENT,,True,SELECTED,2000.0,24000.0,24525.37
TN-SYN-P-000000443,Tiruppur,32,Urban,23,Male,1,5,4,Regular wage/salary earning,Literate,Diploma/Certificate,Unemployed,Unemployed,0.0,16692.0,Other Backward Class,1.0,1.0201184824,1.01962499739,1.01962499739,1.01962499739,TN-HH-00000443,tn_youth_skilling_stipend_003,1.0,POLICY-RUN-ADF1BD64DB,TN-SYN-P-000000443,TN-HH-00000443,True,False,ELIGIBLE_ALL_RULES_PASSED,ELIGIBLE_ALL_RULES_PASSED,R_AGE_MIN;R_AGE_MAX;R_EMPLOYMENT,,True,SELECTED,2000.0,24000.0,24471.0
TN-SYN-P-000000614,Thiruvarur,18,Rural,24,Female,2,4,5,Regular wage/salary earning,Literate,Diploma/Certificate,Unemployed,Unemployed,0.0,17192.0,Other Backward Class,1.0,1.05622434506,1.05570913428,1.05570913428,1.05570913428,TN-HH-00000614,tn_youth_skilling_stipend_003,1.0,POLICY-RUN-ADF1BD64DB,TN-SYN-P-000000614,TN-HH-00000614,True,False,ELIGIBLE_ALL_RULES_PASSED,ELIGIBLE_ALL_RULES_PASSED,R_AGE_MIN;R_AGE_MAX;R_EMPLOYMENT,,True,SELECTED,2000.0,24000.0,25337.02
TN-SYN-P-000000656,Cuddalore,16,Urban,21,Female,1,5,4,Self-employed in agriculture,Literate,Diploma/Certificate,Unemployed,Unemployed,0.0,15400.0,Other Backward Class,1.0,1.0223852304,1.02189038143,1.02189038143,1.02189038143,TN-HH-00000656,tn_youth_skilling_stipend_003,1.0,POLICY-RUN-ADF1BD64DB,TN-SYN-P-000000656,TN-HH-00000656,True,False,ELIGIBLE_ALL_RULES_PASSED,ELIGIBLE_ALL_RULES_PASSED,R_AGE_MIN;R_AGE_MAX;R_EMPLOYMENT,,True,SELECTED,2000.0,24000.0,24525.37
TN-SYN-P-000000795,Virudhunagar,24,Urban,25,Female,1,5,4,Others,Literate,Diploma/Certificate,Unemployed,Unemployed,0.0,16750.0,Other Backward Class,1.0,1.0223852304,1.02189038143,1.02189038143,1.02189038143,TN-HH-00000795,tn_youth_skilling_stipend_003,1.0,POLICY-RUN-ADF1BD64DB,TN-SYN-P-000000795,TN-HH-00000795,True,False,ELIGIBLE_ALL_RULES_PASSED,ELIGIBLE_ALL_RULES_PASSED,R_AGE_MIN;R_AGE_MAX;R_EMPLOYMENT,,True,SELECTED,2000.0,24000.0,24525.37
TN-SYN-P-000000983,Tenkasi,33,Rural,19,Male,1,5,4,Self-employed in agriculture,Literate,Higher Secondary,Unemployed,Unemployed,0.0,7620.0,Scheduled Caste,1.0,0.88013039559,0.879721144774,0.879721144774,0.879721144774,TN-HH-00000983,tn_youth_skilling_stipend_003,1.0,POLICY-RUN-ADF1BD64DB,TN-SYN-P-000000983,TN-HH-00000983,True,False,ELIGIBLE_ALL_RULES_PASSED,ELIGIBLE_ALL_RULES_PASSED,R_AGE_MIN;R_AGE_MAX;R_EMPLOYMENT,,True,SELECTED,2000.0,24000.0,21113.31
TN-SYN-P-000001000,Tenkasi,33,Rural,19,Male,1,5,4,Self-employed in agriculture,Literate,Higher Secondary,Unemployed,Unemployed,0.0,7620.0,Scheduled Caste,1.0,0.88013039559,0.879721144774,0.879721144774,0.879721144774,TN-HH-00001000,tn_youth_skilling_stipend_003,1.0,POLICY-RUN-ADF1BD64DB,TN-SYN-P-000001000,TN-HH-00001000,True,False,ELIGIBLE_ALL_RULES_PASSED,ELIGIBLE_ALL_RULES_PASSED,R_AGE_MIN;R_AGE_MAX;R_EMPLOYMENT,,True,SELECTED,2000.0,24000.0,21113.31
