dimension,category,unweighted_evaluated,unweighted_eligible,unweighted_beneficiaries,weighted_total_population,weighted_eligible_population,weighted_beneficiary_population,weighted_eligibility_rate,weighted_coverage_rate,estimated_cost_inr
district,Dindigul,346,226,226,336.0,215.19,215.19,0.6404,1.0,1549362.42
district,Chennai,761,0,0,761.1,0,0,0.0,0.0,0
district,Tirunelveli,233,127,127,240.41,132.71,132.71,0.552,1.0,955521.97
district,Sivaganga,315,212,212,320.24,216.1,216.1,0.6748,1.0,1555944.57
district,Ariyalur,147,145,145,146.79,144.75,144.75,0.9861,1.0,1042166.28
district,Tenkasi,545,205,205,529.76,197.57,197.57,0.3729,1.0,1422503.76
district,Salem,651,285,285,654.28,283.83,283.83,0.4338,1.0,2043576.16
district,Pudukkottai,300,283,283,302.9,286.05,286.05,0.9444,1.0,2059571.29
district,Kancheepuram,470,139,139,449.53,131.76,131.76,0.2931,1.0,948704.84
district,Madurai,442,176,176,445.38,177.45,177.45,0.3984,1.0,1277620.56
district,Kallakurichi,242,196,196,248.73,201.77,201.77,0.8112,1.0,1452772.12
district,Coimbatore,589,143,143,587.62,140.36,140.36,0.2389,1.0,1010600.94
district,Krishnagiri,498,340,340,504.97,347.56,347.56,0.6883,1.0,2502409.57
district,Tiruchirappalli,367,156,156,373.38,160.18,160.18,0.429,1.0,1153267.07
district,Cuddalore,493,381,381,491.94,379.14,379.14,0.7707,1.0,2729810.82
district,Thoothukudi,368,166,166,364.06,160.12,160.12,0.4398,1.0,1152877.92
district,Theni,227,98,98,221.86,95.32,95.32,0.4296,1.0,686304.4
district,Dharmapuri,363,270,270,370.54,278.63,278.63,0.752,1.0,2006156.4
district,Tirupathur,140,42,42,135.98,41.16,41.16,0.3027,1.0,296368.62
district,Ranipet,257,142,142,254.23,140.88,140.88,0.5542,1.0,1014350.58
district,Kanniyakumari,249,0,0,252.17,0,0,0.0,0.0,0
district,Thiruvallur,604,160,160,600.81,157.32,157.32,0.2619,1.0,1132728.42
district,Thanjavur,393,154,154,396.23,155.97,155.97,0.3936,1.0,1122971.97
district,Virudhunagar,187,85,85,191.86,87.91,87.91,0.4582,1.0,632926.33
district,Namakkal,283,198,198,282.95,203.42,203.42,0.7189,1.0,1464599.33
district,Thiruvarur,269,208,208,265.51,206.68,206.68,0.7784,1.0,1488066.07
district,Tiruvannamalai,354,238,238,351.12,235.01,235.01,0.6693,1.0,1692044.23
district,Viluppuram,200,176,176,192.38,167.88,167.88,0.8727,1.0,1208716.54
district,Vellore,220,183,183,226.92,189.15,189.15,0.8336,1.0,1361893.83
district,Perambalur,123,83,83,128.19,87.36,87.36,0.6815,1.0,629001.56
district,Erode,397,214,214,398.39,216.96,216.96,0.5446,1.0,1562119.57
district,Ramanathapuram,228,151,151,235.73,157.13,157.13,0.6666,1.0,1131332.29
district,Unknown,113,100,100,113.68,100.41,100.41,0.8833,1.0,722929.71
district,Karur,100,78,78,101.93,79.48,79.48,0.7797,1.0,572273.05
district,Mayiladuthurai,163,140,140,159.38,138.43,138.43,0.8685,1.0,996687.08
district,Tiruppur,231,112,112,226.94,107.34,107.34,0.473,1.0,772850.76
district,The Nilgiris,95,46,46,100.02,49.58,49.58,0.4957,1.0,356996.31
district,Nagapattinam,37,0,0,36.09,0,0,0.0,0.0,0
urban_rural,Rural,6189,6058,6058,6187.82,6070.56,6070.56,0.981,1.0,43708027.34
urban_rural,Urban,5811,0,0,5812.18,0,0,0.0,0.0,0
gender,Male,6011,3061,3061,6010.74,3068.96,3068.96,0.5106,1.0,22096512.13
gender,Female,5986,2997,2997,5986.54,3001.6,3001.6,0.5014,1.0,21611515.21
gender,Other,3,0,0,2.72,0,0,0.0,0.0,0
social_group,Other Backward Class,8766,4094,4094,9086.58,4317.18,4317.18,0.4751,1.0,31083727.84
social_group,Scheduled Caste,2751,1876,1876,2401.54,1652.23,1652.23,0.688,1.0,11896030.23
social_group,Others,371,30,30,379.7,31.62,31.62,0.0833,1.0,227645.75
social_group,Scheduled Tribe,112,58,58,132.18,69.53,69.53,0.526,1.0,500623.52
education_level,Primary,1756,942,942,1758.94,950.62,950.62,0.5405,1.0,6844491.73
education_level,Diploma/Certificate,2298,749,749,2311.31,752.44,752.44,0.3255,1.0,5417583.42
education_level,Middle,1934,1008,1008,1928.27,1007.74,1007.74,0.5226,1.0,7255746.03
education_level,Below Primary,1308,670,670,1305.81,669.52,669.52,0.5127,1.0,4820556.32
education_level,Secondary,1315,700,700,1320.89,704.62,704.62,0.5334,1.0,5073262.44
education_level,Not literate,2217,1378,1378,2201.6,1370.99,1370.99,0.6227,1.0,9871138.39
education_level,Higher Secondary,1172,611,611,1173.19,614.62,614.62,0.5239,1.0,4425249.01
employment_status,Employed,5260,2846,2846,5251.54,2850.13,2850.13,0.5427,1.0,20520977.18
employment_status,Not in labour force,6504,3081,3081,6513.35,3089.94,3089.94,0.4744,1.0,22247565.63
employment_status,Unemployed,236,131,131,235.1,130.48,130.48,0.555,1.0,939484.53
