synthetic_person_id,district,district_code,urban_rural,age,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,individual_income,consumption_expenditure,social_group
TN-SYN-P-000000001,Sivaganga,21,Rural,11,Male,1,6,6,Self-employed in agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,21180.0,Other Backward Class
TN-SYN-P-000000002,Namakkal,08,Rural,41,Male,2,1,5,Casual labour in non-agriculture,Illiterate,Not literate,Employed,Employed,0.0,13108.0,Other Backward Class
TN-SYN-P-000000003,Tiruvannamalai,05,Rural,3,Female,1,5,4,Self-employed in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,8766.0,Other Backward Class
TN-SYN-P-000000004,The Nilgiris,10,Rural,16,Female,1,6,6,Casual labour in agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,16843.0,Scheduled Tribe
TN-SYN-P-000000005,Tirunelveli,27,Rural,11,Female,1,5,4,Regular wage/salary earning,Literate,Primary,Not in labour force,Not in labour force,0.0,18967.0,Other Backward Class
TN-SYN-P-000000006,Theni,23,Rural,70,Female,2,2,2,Others,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,8685.0,Other Backward Class
TN-SYN-P-000000007,Salem,07,Rural,60,Female,2,2,3,Others,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,3900.0,Scheduled Caste
TN-SYN-P-000000008,Thiruvarur,18,Rural,60,Female,2,7,4,Self-employed in agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,12975.0,Scheduled Caste
TN-SYN-P-000000009,Thanjavur,19,Rural,9,Female,1,5,7,Self-employed in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,18595.0,Scheduled Caste
TN-SYN-P-000000010,Coimbatore,31,Rural,20,Male,1,5,4,Regular wage/salary earning,Literate,Secondary,Employed,Employed,20000.0,21413.0,Other Backward Class
TN-SYN-P-000000011,Tenkasi,33,Rural,14,Female,1,5,5,Casual labour in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,19267.0,Scheduled Caste
TN-SYN-P-000000012,Ramanathapuram,25,Rural,23,Female,1,5,6,Self-employed in non-agriculture,Literate,Diploma/Certificate,Unemployed,Unemployed,0.0,15753.0,Other Backward Class
TN-SYN-P-000000013,Tirunelveli,27,Rural,43,Female,2,2,3,Self-employed in agriculture,Literate,Below Primary,Employed,Employed,0.0,9600.0,Other Backward Class
TN-SYN-P-000000014,Pudukkottai,20,Rural,25,Female,2,4,5,Regular wage/salary earning,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,12247.0,Scheduled Caste
