synthetic_person_id,district,district_code,urban_rural,age,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,individual_income,consumption_expenditure,social_group
TN-SYN-P-000000001,Thanjavur,19,Urban,15,Female,1,5,4,Self-employed in agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,15683.0,Other Backward Class
TN-SYN-P-000000002,Krishnagiri,30,Rural,48,Female,2,2,4,Regular wage/salary earning,Literate,Primary,Not in labour force,Not in labour force,0.0,11086.0,Scheduled Caste
TN-SYN-P-000000003,Chennai,02,Urban,77,Female,2,2,2,Self-employed in agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,33925.0,Other Backward Class
TN-SYN-P-000000004,Ranipet,35,Rural,9,Male,1,5,4,Casual labour in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,8961.0,Other Backward Class
TN-SYN-P-000000005,Dindigul,11,Rural,41,Female,2,2,5,Casual labour in non-agriculture,Literate,Higher Secondary,Employed,Employed,0.0,16097.0,Scheduled Caste
TN-SYN-P-000000006,Thiruvallur,01,Rural,62,Male,2,1,2,Self-employed in agriculture,Illiterate,Not literate,Employed,Employed,0.0,9783.0,Scheduled Caste
TN-SYN-P-000000007,Salem,07,Rural,6,Male,1,6,7,Casual labour in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,21017.0,Scheduled Caste
TN-SYN-P-000000008,Dharmapuri,29,Urban,48,Male,2,1,5,Self-employed in agriculture,Literate,Middle,Employed,Employed,0.0,14889.0,Scheduled Caste
TN-SYN-P-000000009,Tirupathur,36,Urban,37,Female,4,3,5,Self-employed in non-agriculture,Literate,Primary,Employed,Employed,8000.0,9469.0,Other Backward Class
TN-SYN-P-000000010,Tenkasi,33,Urban,18,Male,1,5,4,Self-employed in non-agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,15755.0,Other Backward Class
TN-SYN-P-000000011,Thanjavur,19,Urban,66,Male,3,1,4,Self-employed in agriculture,Literate,Secondary,Employed,Employed,0.0,32644.0,Other Backward Class
TN-SYN-P-000000012,Chennai,02,Urban,60,Male,2,1,2,Others,Literate,Primary,Not in labour force,Not in labour force,0.0,10267.0,Others
TN-SYN-P-000000013,Dharmapuri,29,Urban,40,Female,2,2,4,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,0.0,13113.0,Other Backward Class
TN-SYN-P-000000014,Salem,07,Rural,62,Male,2,1,3,Others,Literate,Middle,Not in labour force,Not in labour force,0.0,10883.0,Scheduled Caste
TN-SYN-P-000000015,Coimbatore,31,Urban,54,Male,2,1,5,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,95800.0,41120.0,Other Backward Class
TN-SYN-P-000000016,The Nilgiris,10,Rural,79,Male,2,1,5,Self-employed in agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,13558.0,Scheduled Caste
TN-SYN-P-000000017,Kallakurichi,34,Urban,16,Female,1,5,6,Self-employed in agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,16483.0,Other Backward Class
TN-SYN-P-000000018,Ariyalur,15,Rural,65,Female,3,1,1,Casual labour in agriculture,Illiterate,Not literate,Employed,Employed,0.0,5325.0,Scheduled Caste
TN-SYN-P-000000019,Krishnagiri,30,Rural,24,Female,2,4,8,Regular wage/salary earning,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,17230.0,Other Backward Class
TN-SYN-P-000000020,Krishnagiri,30,Rural,56,Female,2,1,2,Casual labour in agriculture,Illiterate,Not literate,Employed,Employed,0.0,4053.0,Other Backward Class
TN-SYN-P-000000021,Tirunelveli,27,Urban,60,Female,3,1,9,Self-employed in agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,37205.0,Other Backward Class
TN-SYN-P-000000022,Krishnagiri,30,Rural,20,Female,1,5,3,Self-employed in agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,5019.0,Other Backward Class
TN-SYN-P-000000023,Viluppuram,06,Rural,42,Female,2,2,3,Regular wage/salary earning,Literate,Secondary,Not in labour force,Not in labour force,0.0,15458.0,Other Backward Class
TN-SYN-P-000000024,Thiruvallur,01,Urban,28,Female,2,2,3,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,15650.0,Other Backward Class
TN-SYN-P-000000025,Thiruvallur,01,Urban,29,Male,1,5,5,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,45000.0,16110.0,Other Backward Class
TN-SYN-P-000000026,Kallakurichi,34,Rural,25,Female,2,2,4,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,8733.0,Other Backward Class
TN-SYN-P-000000027,Tiruchirappalli,13,Rural,61,Female,3,1,2,Casual labour in agriculture,Literate,Below Primary,Employed,Employed,0.0,7265.0,Other Backward Class
TN-SYN-P-000000028,Tirunelveli,27,Rural,56,Female,3,1,6,Regular wage/salary earning,Literate,Primary,Employed,Employed,8000.0,19575.0,Other Backward Class
TN-SYN-P-000000029,Tiruvannamalai,05,Rural,70,Female,3,1,1,Others,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,2617.0,Scheduled Caste
TN-SYN-P-000000030,Kallakurichi,34,Rural,16,Male,1,6,7,Casual labour in agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,10888.0,Scheduled Tribe
TN-SYN-P-000000031,Namakkal,08,Urban,70,Female,3,1,1,Regular wage/salary earning,Illiterate,Not literate,Employed,Employed,0.0,1658.0,Scheduled Caste
TN-SYN-P-000000032,Thoothukudi,26,Urban,37,Male,2,1,4,Self-employed in agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,17147.0,Scheduled Tribe
TN-SYN-P-000000033,Salem,07,Rural,35,Male,2,1,6,Casual labour in non-agriculture,Literate,Middle,Employed,Employed,0.0,9942.0,Other Backward Class
TN-SYN-P-000000034,Namakkal,08,Urban,79,Female,3,7,7,Regular wage/salary earning,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,11802.0,Other Backward Class
TN-SYN-P-000000035,Tenkasi,33,Urban,65,Male,2,1,1,Others,Literate,Secondary,Not in labour force,Not in labour force,0.0,8862.0,Other Backward Class
TN-SYN-P-000000036,Cuddalore,16,Rural,2,Male,1,5,4,Self-employed in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,10808.0,Scheduled Caste
TN-SYN-P-000000037,Madurai,22,Rural,73,Male,2,1,2,Others,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,4247.0,Other Backward Class
TN-SYN-P-000000038,Tenkasi,33,Rural,45,Male,2,2,5,Regular wage/salary earning,Literate,Below Primary,Employed,Employed,0.0,11152.0,Scheduled Caste
TN-SYN-P-000000039,Thiruvarur,18,Rural,56,Female,2,7,4,Others,Literate,Primary,Not in labour force,Not in labour force,0.0,22000.0,Other Backward Class
TN-SYN-P-000000040,Theni,23,Rural,37,Female,2,2,5,Casual labour in non-agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,10843.0,Other Backward Class
TN-SYN-P-000000041,Thiruvallur,01,Urban,75,Female,3,1,4,Self-employed in non-agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,12953.0,Other Backward Class
TN-SYN-P-000000042,Salem,07,Urban,22,Female,2,2,2,Self-employed in agriculture,Literate,Higher Secondary,Employed,Employed,0.0,6692.0,Other Backward Class
TN-SYN-P-000000043,Madurai,22,Urban,50,Female,2,2,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,20000.0,27750.0,Other Backward Class
TN-SYN-P-000000044,Theni,23,Urban,9,Male,1,5,4,Self-employed in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,10977.0,Other Backward Class
TN-SYN-P-000000045,Krishnagiri,30,Rural,4,Male,1,6,8,Regular wage/salary earning,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,17230.0,Other Backward Class
TN-SYN-P-000000046,Tiruvannamalai,05,Rural,26,Male,1,5,4,Regular wage/salary earning,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,7037.0,Scheduled Caste
TN-SYN-P-000000047,Chennai,02,Urban,73,Female,3,1,1,Others,Literate,Middle,Not in labour force,Not in labour force,0.0,8257.0,Other Backward Class
TN-SYN-P-000000048,Kallakurichi,34,Rural,58,Male,2,1,2,Self-employed in agriculture,Literate,Primary,Employed,Employed,0.0,7933.0,Other Backward Class
TN-SYN-P-000000049,Perambalur,14,Rural,22,Female,2,4,8,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,16833.0,Other Backward Class
TN-SYN-P-000000050,Tiruchirappalli,13,Urban,4,Female,1,5,5,Self-employed in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,21114.0,Other Backward Class
TN-SYN-P-000000051,Salem,07,Urban,7,Male,1,5,5,Self-employed in agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,20204.0,Other Backward Class
TN-SYN-P-000000052,Tenkasi,33,Urban,4,Female,1,5,5,Self-employed in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,12625.0,Other Backward Class
TN-SYN-P-000000053,Perambalur,14,Rural,39,Female,2,1,3,Self-employed in agriculture,Literate,Middle,Employed,Employed,0.0,9251.0,Other Backward Class
TN-SYN-P-000000054,Tirupathur,36,Rural,32,Male,1,5,5,Regular wage/salary earning,Literate,Middle,Employed,Employed,12000.0,9878.0,Other Backward Class
TN-SYN-P-000000055,Chennai,02,Urban,45,Female,2,2,6,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,24035.0,Other Backward Class
TN-SYN-P-000000056,Viluppuram,06,Rural,1,Female,1,5,6,Regular wage/salary earning,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,16725.0,Scheduled Caste
TN-SYN-P-000000057,Cuddalore,16,Urban,72,Female,3,7,4,Self-employed in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,9267.0,Other Backward Class
TN-SYN-P-000000058,Dindigul,11,Rural,28,Male,2,1,3,Self-employed in non-agriculture,Literate,Higher Secondary,Employed,Employed,0.0,6408.0,Other Backward Class
TN-SYN-P-000000059,Dindigul,11,Urban,41,Male,2,1,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,55000.0,40600.0,Other Backward Class
TN-SYN-P-000000060,Tiruvannamalai,05,Rural,75,Female,3,7,4,Self-employed in agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,9378.0,Other Backward Class
TN-SYN-P-000000061,Tenkasi,33,Urban,33,Female,2,2,2,Self-employed in agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,16008.0,Other Backward Class
TN-SYN-P-000000062,Namakkal,08,Urban,11,Male,1,5,4,Regular wage/salary earning,Literate,Primary,Not in labour force,Not in labour force,0.0,15438.0,Other Backward Class
TN-SYN-P-000000063,Tiruppur,32,Rural,40,Female,3,3,4,Regular wage/salary earning,Literate,Below Primary,Employed,Employed,0.0,6758.0,Scheduled Caste
TN-SYN-P-000000064,The Nilgiris,10,Rural,38,Female,2,6,5,Self-employed in agriculture,Literate,Middle,Employed,Employed,0.0,13558.0,Scheduled Caste
TN-SYN-P-000000065,Pudukkottai,20,Rural,25,Male,1,5,3,Self-employed in agriculture,Literate,Middle,Employed,Employed,12000.0,8241.0,Other Backward Class
TN-SYN-P-000000066,Chennai,02,Urban,51,Male,2,1,5,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,16736.0,14403.0,Other Backward Class
TN-SYN-P-000000067,Viluppuram,06,Rural,32,Female,2,4,7,Casual labour in non-agriculture,Literate,Middle,Employed,Employed,0.0,9000.0,Scheduled Caste
TN-SYN-P-000000068,Tenkasi,33,Rural,74,Female,2,2,2,Others,Literate,Middle,Not in labour force,Not in labour force,0.0,25680.0,Other Backward Class
TN-SYN-P-000000069,Erode,09,Rural,7,Male,1,5,4,Self-employed in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,8353.0,Scheduled Caste
TN-SYN-P-000000070,Kallakurichi,34,Rural,50,Female,2,2,2,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,0.0,7183.0,Other Backward Class
TN-SYN-P-000000071,Kancheepuram,03,Urban,37,Male,2,1,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,38000.0,30610.0,Other Backward Class
TN-SYN-P-000000072,Virudhunagar,24,Rural,32,Female,2,2,3,Casual labour in non-agriculture,Literate,Middle,Employed,Employed,0.0,8933.0,Other Backward Class
