synthetic_person_id,district,district_code,urban_rural,age,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,individual_income,consumption_expenditure,social_group
TN-SYN-P-000000001,Dindigul,11,Rural,62,Male,2,1,3,Self-employed in agriculture,Literate,Primary,Employed,Employed,0.0,15305.0,Other Backward Class
TN-SYN-P-000000002,Chennai,02,Urban,26,Female,1,5,4,Self-employed in agriculture,Literate,Diploma/Certificate,Employed,Employed,35000.0,43860.0,Other Backward Class
TN-SYN-P-000000003,Tirunelveli,27,Urban,35,Male,2,3,7,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,16000.0,22817.0,Other Backward Class
TN-SYN-P-000000004,Sivaganga,21,Rural,39,Female,2,2,4,Self-employed in agriculture,Literate,Middle,Employed,Employed,0.0,12429.0,Other Backward Class
TN-SYN-P-000000005,Ariyalur,15,Rural,68,Male,2,1,4,Self-employed in agriculture,Literate,Below Primary,Employed,Employed,0.0,10638.0,Other Backward Class
TN-SYN-P-000000006,Tenkasi,33,Rural,53,Male,2,1,4,Self-employed in agriculture,Literate,Middle,Employed,Employed,0.0,7620.0,Scheduled Caste
TN-SYN-P-000000007,Salem,07,Urban,14,Male,1,5,5,Self-employed in agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,20792.0,Other Backward Class
TN-SYN-P-000000008,Sivaganga,21,Urban,17,Female,1,5,2,Others,Literate,Secondary,Not in labour force,Not in labour force,0.0,9131.0,Other Backward Class
TN-SYN-P-000000009,Pudukkottai,20,Rural,15,Male,1,5,3,Self-employed in agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,8408.0,Other Backward Class
TN-SYN-P-000000010,Salem,07,Rural,23,Female,1,5,8,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,0.0,17738.0,Other Backward Class
TN-SYN-P-000000011,Kancheepuram,03,Rural,38,Male,2,3,8,Regular wage/salary earning,Literate,Diploma/Certificate,Employed,Employed,26000.0,35417.0,Scheduled Caste
TN-SYN-P-000000012,Sivaganga,21,Rural,86,Male,2,1,2,Others,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,5610.0,Other Backward Class
TN-SYN-P-000000013,Madurai,22,Rural,44,Female,2,2,7,Self-employed in agriculture,Literate,Secondary,Employed,Employed,0.0,16838.0,Other Backward Class
TN-SYN-P-000000014,Salem,07,Rural,3,Male,1,5,4,Regular wage/salary earning,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,13792.0,Scheduled Caste
TN-SYN-P-000000015,Kallakurichi,34,Rural,67,Female,2,2,2,Casual labour in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,5667.0,Other Backward Class
TN-SYN-P-000000016,Coimbatore,31,Urban,7,Male,1,6,6,Self-employed in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,25167.0,Other Backward Class
TN-SYN-P-000000017,Krishnagiri,30,Rural,52,Female,2,2,2,Casual labour in agriculture,Literate,Primary,Employed,Employed,0.0,4281.0,Scheduled Caste
TN-SYN-P-000000018,Sivaganga,21,Rural,28,Male,2,1,3,Casual labour in non-agriculture,Literate,Higher Secondary,Employed,Employed,0.0,14967.0,Other Backward Class
TN-SYN-P-000000019,Tiruchirappalli,13,Urban,64,Male,2,1,7,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,0.0,22917.0,Other Backward Class
TN-SYN-P-000000020,Cuddalore,16,Rural,63,Male,3,1,2,Others,Literate,Middle,Not in labour force,Not in labour force,0.0,7275.0,Other Backward Class
TN-SYN-P-000000021,Thoothukudi,26,Rural,40,Female,2,4,6,Self-employed in non-agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,15347.0,Other Backward Class
TN-SYN-P-000000022,Tenkasi,33,Urban,34,Male,2,1,2,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,60000.0,13250.0,Others
TN-SYN-P-000000023,Theni,23,Urban,42,Female,3,1,2,Regular wage/salary earning,Illiterate,Not literate,Employed,Employed,0.0,10617.0,Other Backward Class
TN-SYN-P-000000024,Dharmapuri,29,Urban,40,Female,2,2,6,Self-employed in agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,12596.0,Other Backward Class
TN-SYN-P-000000025,Tirupathur,36,Rural,40,Male,2,1,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,7578.0,Scheduled Caste
TN-SYN-P-000000026,Sivaganga,21,Urban,72,Female,3,1,1,Others,Literate,Below Primary,Not in labour force,Not in labour force,0.0,3275.0,Other Backward Class
TN-SYN-P-000000027,Chennai,02,Urban,54,Male,2,1,1,Self-employed in agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,8250.0,Others
TN-SYN-P-000000028,Krishnagiri,30,Rural,54,Male,2,1,4,Regular wage/salary earning,Illiterate,Not literate,Employed,Employed,0.0,11784.0,Scheduled Caste
TN-SYN-P-000000029,Tenkasi,33,Rural,79,Male,2,1,2,Others,Literate,Secondary,Not in labour force,Not in labour force,0.0,25680.0,Other Backward Class
TN-SYN-P-000000030,Tiruchirappalli,13,Urban,35,Male,1,5,6,Self-employed in non-agriculture,Literate,Secondary,Employed,Employed,0.0,16161.0,Other Backward Class
TN-SYN-P-000000031,Ranipet,35,Urban,69,Male,2,1,3,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,8388.0,Other Backward Class
TN-SYN-P-000000032,Sivaganga,21,Rural,10,Female,1,5,7,Casual labour in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,10013.0,Other Backward Class
TN-SYN-P-000000033,Kanniyakumari,28,Urban,75,Male,2,1,6,Regular wage/salary earning,Literate,Middle,Not in labour force,Not in labour force,0.0,13585.0,Other Backward Class
TN-SYN-P-000000034,Dindigul,11,Rural,72,Male,2,1,2,Others,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,2846.0,Scheduled Caste
TN-SYN-P-000000035,Kanniyakumari,28,Urban,12,Male,1,6,4,Self-employed in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,41293.0,Other Backward Class
TN-SYN-P-000000036,Thiruvallur,01,Rural,54,Male,2,1,3,Self-employed in agriculture,Literate,Middle,Employed,Employed,0.0,6683.0,Other Backward Class
TN-SYN-P-000000037,Dharmapuri,29,Urban,11,Male,1,5,4,Self-employed in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,10349.0,Other Backward Class
TN-SYN-P-000000038,Coimbatore,31,Rural,18,Female,1,5,4,Regular wage/salary earning,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,18887.0,Scheduled Caste
TN-SYN-P-000000039,Coimbatore,31,Rural,37,Female,2,1,4,Casual labour in non-agriculture,Literate,Secondary,Employed,Employed,0.0,14559.0,Scheduled Caste
TN-SYN-P-000000040,Sivaganga,21,Rural,1,Male,1,6,6,Self-employed in agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,11750.0,Other Backward Class
TN-SYN-P-000000041,Ranipet,35,Rural,9,Female,1,5,3,Regular wage/salary earning,Literate,Below Primary,Not in labour force,Not in labour force,0.0,4468.0,Other Backward Class
TN-SYN-P-000000042,Tenkasi,33,Rural,30,Female,2,4,8,Regular wage/salary earning,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,29312.0,Other Backward Class
TN-SYN-P-000000043,Thanjavur,19,Urban,45,Female,3,1,2,Self-employed in non-agriculture,Illiterate,Not literate,Employed,Employed,6150.0,8470.0,Other Backward Class
TN-SYN-P-000000044,Thanjavur,19,Urban,10,Male,1,5,5,Self-employed in agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,40509.0,Other Backward Class
TN-SYN-P-000000045,Thiruvallur,01,Urban,43,Female,2,2,3,Self-employed in agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,10462.0,Other Backward Class
TN-SYN-P-000000046,Sivaganga,21,Urban,8,Male,1,5,4,Self-employed in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,8808.0,Other Backward Class
TN-SYN-P-000000047,Virudhunagar,24,Urban,64,Male,2,1,5,Self-employed in agriculture,Literate,Middle,Employed,Employed,0.0,17297.0,Other Backward Class
TN-SYN-P-000000048,Tirunelveli,27,Rural,17,Female,1,5,4,Casual labour in non-agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,10437.0,Other Backward Class
