synthetic_person_id,district,district_code,urban_rural,age,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,individual_income,consumption_expenditure,social_group
TN-SYN-P-000000001,Kallakurichi,21,Urban,32,Male,2,1,2,Regular wage/salary earning,Literate,Higher Secondary,Employed,Not in labour force,70.0,14315.0,Other Backward Class
TN-SYN-P-000000002,Erode,24,Urban,13,Female,2,1,6,Regular wage/salary earning,Literate,Diploma/Certificate,Employed,Not in labour force,0.0,22534.0,Other Backward Class
TN-SYN-P-000000003,Kancheepuram,05,Urban,25,Male,4,1,4,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Employed,0.0,26704.0,Scheduled Caste
TN-SYN-P-000000004,Kanniyakumari,35,Urban,61,Female,1,7,3,Self-employed in agriculture,Literate,Middle,Employed,Not in labour force,19.0,15572.0,Scheduled Tribe
TN-SYN-P-000000005,Chennai,06,Urban,19,Female,1,5,3,Self-employed in agriculture,Literate,Primary,Employed,Not in labour force,0.0,28043.0,Others
TN-SYN-P-000000006,Salem,24,Rural,25,Male,2,2,5,Casual labour in non-agriculture,Literate,Secondary,Not in labour force,Employed,84.0,1282.0,Scheduled Caste
TN-SYN-P-000000007,Viluppuram,09,Rural,63,Female,1,7,2,Casual labour in agriculture,Illiterate,Primary,Not in labour force,Unemployed,0.0,3783.0,Other Backward Class
TN-SYN-P-000000008,Erode,35,Rural,41,Male,3,2,5,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Employed,0.0,7425.0,Scheduled Caste
TN-SYN-P-000000009,Virudhunagar,18,Urban,20,Male,2,1,4,Self-employed in agriculture,Illiterate,Secondary,Employed,Not in labour force,187.0,15508.0,Scheduled Caste
TN-SYN-P-000000010,Tiruppur,13,Rural,20,Male,2,2,13,Self-employed in non-agriculture,Literate,Below Primary,Not in labour force,Employed,0.0,3471.0,Other Backward Class
TN-SYN-P-000000011,Tenkasi,19,Urban,1,Male,3,5,5,Self-employed in non-agriculture,Literate,Higher Secondary,Employed,Not in labour force,0.0,14643.0,Other Backward Class
TN-SYN-P-000000012,Tenkasi,36,Rural,1,Female,2,2,5,Self-employed in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,7981.0,Scheduled Caste
TN-SYN-P-000000013,Coimbatore,22,Rural,55,Female,1,2,3,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Unemployed,0.0,13628.0,Scheduled Caste
TN-SYN-P-000000014,Kallakurichi,13,Urban,33,Female,2,5,3,Regular wage/salary earning,Literate,Below Primary,Employed,Not in labour force,0.0,11669.0,Others
TN-SYN-P-000000015,Cuddalore,01,Urban,27,Female,2,4,3,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Employed,15146.0,14359.0,Scheduled Caste
TN-SYN-P-000000016,Madurai,19,Rural,8,Female,1,1,5,Regular wage/salary earning,Literate,Middle,Employed,Employed,41.0,19561.0,Scheduled Tribe
TN-SYN-P-000000017,Krishnagiri,04,Urban,62,Male,2,1,5,Self-employed in non-agriculture,Literate,Below Primary,Employed,Not in labour force,196.0,11039.0,Other Backward Class
TN-SYN-P-000000018,Cuddalore,11,Urban,26,Male,2,8,5,Others,Literate,Diploma/Certificate,Employed,Not in labour force,52.0,9903.0,Others
