synthetic_person_id,district,district_code,urban_rural,age,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,individual_income,consumption_expenditure,social_group
TN-SYN-P-000000001,Cuddalore,27,Urban,23,Male,2,5,4,Self-employed in non-agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,14798.0,Other Backward Class
TN-SYN-P-000000002,Viluppuram,31,Rural,25,Male,1,5,4,Casual labour in agriculture,Illiterate,Secondary,Not in labour force,Not in labour force,0.0,10504.0,Other Backward Class
TN-SYN-P-000000003,Ranipet,23,Rural,4,Female,1,5,2,Others,Illiterate,Not literate,Employed,Employed,0.0,8775.0,Other Backward Class
TN-SYN-P-000000004,Thanjavur,02,Rural,67,Female,2,1,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,15397.0,Other Backward Class
TN-SYN-P-000000005,Cuddalore,35,Urban,29,Female,2,2,4,Self-employed in agriculture,Literate,Not literate,Employed,Employed,10000.0,13032.0,Other Backward Class
TN-SYN-P-000000006,Mayiladuthurai,34,Rural,22,Male,1,2,8,Self-employed in agriculture,Literate,Below Primary,Employed,Employed,0.0,15357.0,Other Backward Class
TN-SYN-P-000000007,Madurai,31,Rural,16,Female,1,5,4,Regular wage/salary earning,Illiterate,Below Primary,Employed,Employed,0.0,11957.0,Other Backward Class
TN-SYN-P-000000008,Chennai,08,Urban,69,Female,2,1,5,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,16223.0,Other Backward Class
TN-SYN-P-000000009,Chennai,16,Urban,60,Male,2,4,3,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,105000.0,17587.0,Scheduled Caste
TN-SYN-P-000000010,Krishnagiri,32,Urban,46,Male,2,5,5,Others,Literate,Middle,Not in labour force,Not in labour force,0.0,10325.0,Other Backward Class
TN-SYN-P-000000011,Kancheepuram,33,Rural,64,Female,2,1,3,Self-employed in agriculture,Literate,Below Primary,Employed,Employed,0.0,3733.0,Others
TN-SYN-P-000000012,Tiruvannamalai,03,Rural,53,Male,2,1,4,Regular wage/salary earning,Literate,Not literate,Not in labour force,Not in labour force,0.0,14900.0,Other Backward Class
TN-SYN-P-000000013,Thoothukudi,07,Rural,52,Female,1,3,6,Casual labour in non-agriculture,Literate,Middle,Employed,Employed,0.0,21287.0,Other Backward Class
TN-SYN-P-000000014,Tirunelveli,14,Urban,37,Male,2,2,3,Self-employed in agriculture,Literate,Primary,Not in labour force,Not in labour force,15000.0,9147.0,Other Backward Class
TN-SYN-P-000000015,Dharmapuri,02,Rural,63,Female,2,1,2,Regular wage/salary earning,Literate,Higher Secondary,Employed,Employed,0.0,8367.0,Other Backward Class
TN-SYN-P-000000016,Tenkasi,19,Urban,40,Female,2,1,4,Self-employed in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,12000.0,24808.0,Scheduled Caste
TN-SYN-P-000000017,Madurai,11,Urban,4,Female,1,4,5,Others,Literate,Below Primary,Not in labour force,Not in labour force,0.0,12417.0,Other Backward Class
TN-SYN-P-000000018,Chennai,08,Urban,53,Male,2,2,2,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,0.0,11372.0,Other Backward Class
TN-SYN-P-000000019,Thiruvarur,21,Urban,62,Female,3,2,4,Regular wage/salary earning,Literate,Diploma/Certificate,Employed,Employed,0.0,13453.0,Other Backward Class
TN-SYN-P-000000020,Chennai,01,Rural,68,Female,3,2,3,Casual labour in agriculture,Illiterate,Middle,Employed,Employed,0.0,8317.0,Other Backward Class
TN-SYN-P-000000021,Thanjavur,21,Urban,31,Male,2,6,3,Self-employed in non-agriculture,Literate,Secondary,Not in labour force,Not in labour force,36580.0,10560.0,Scheduled Tribe
TN-SYN-P-000000022,Dharmapuri,11,Rural,31,Female,1,5,6,Regular wage/salary earning,Literate,Below Primary,Not in labour force,Not in labour force,0.0,9783.0,Scheduled Caste
TN-SYN-P-000000023,Thiruvallur,21,Rural,35,Female,2,2,4,Casual labour in agriculture,Literate,Higher Secondary,Employed,Employed,0.0,23237.0,Other Backward Class
TN-SYN-P-000000024,Pudukkottai,22,Urban,57,Female,2,5,5,Others,Literate,Primary,Not in labour force,Not in labour force,0.0,12663.0,Other Backward Class
TN-SYN-P-000000025,Madurai,05,Urban,30,Female,2,2,5,Regular wage/salary earning,Literate,Not literate,Employed,Employed,0.0,26328.0,Scheduled Caste
TN-SYN-P-000000026,The Nilgiris,31,Urban,69,Male,4,3,4,Self-employed in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,15899.0,14623.0,Scheduled Caste
TN-SYN-P-000000027,Tirunelveli,11,Urban,43,Male,3,4,5,Self-employed in agriculture,Literate,Secondary,Employed,Employed,25000.0,22651.0,Other Backward Class
TN-SYN-P-000000028,Thanjavur,18,Urban,41,Male,2,1,5,Regular wage/salary earning,Literate,Middle,Not in labour force,Not in labour force,5200.0,13412.0,Scheduled Caste
TN-SYN-P-000000029,Ramanathapuram,22,Urban,55,Male,2,1,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,12053.0,Other Backward Class
TN-SYN-P-000000030,The Nilgiris,03,Rural,4,Female,1,5,3,Self-employed in agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,9747.0,Scheduled Caste
TN-SYN-P-000000031,Pudukkottai,29,Urban,62,Male,2,5,6,Self-employed in non-agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,22970.0,Other Backward Class
TN-SYN-P-000000032,Thanjavur,21,Rural,52,Male,2,2,4,Regular wage/salary earning,Illiterate,Not literate,Employed,Employed,0.0,15983.0,Other Backward Class
TN-SYN-P-000000033,Pudukkottai,03,Rural,1,Female,1,5,4,Self-employed in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,11175.0,Other Backward Class
TN-SYN-P-000000034,Tirupathur,07,Rural,70,Female,2,1,3,Regular wage/salary earning,Illiterate,Below Primary,Employed,Employed,0.0,10875.0,Other Backward Class
TN-SYN-P-000000035,Madurai,02,Urban,71,Male,3,2,4,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,0.0,10083.0,Other Backward Class
TN-SYN-P-000000036,Tirunelveli,09,Urban,11,Male,1,7,4,Self-employed in non-agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,22843.0,Other Backward Class
TN-SYN-P-000000037,Krishnagiri,19,Rural,25,Male,1,1,5,Others,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,9307.0,Scheduled Caste
TN-SYN-P-000000038,Sivaganga,11,Rural,45,Female,1,2,6,Regular wage/salary earning,Literate,Diploma/Certificate,Employed,Employed,0.0,27903.0,Other Backward Class
TN-SYN-P-000000039,Ramanathapuram,02,Rural,34,Female,1,1,3,Casual labour in agriculture,Illiterate,Higher Secondary,Not in labour force,Not in labour force,0.0,13843.0,Other Backward Class
TN-SYN-P-000000040,Chennai,29,Rural,32,Female,2,1,6,Self-employed in agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,19017.0,Scheduled Caste
TN-SYN-P-000000041,Chennai,05,Urban,37,Female,1,6,4,Self-employed in non-agriculture,Literate,Below Primary,Not in labour force,Employed,0.0,21230.0,Other Backward Class
TN-SYN-P-000000042,Dindigul,32,Rural,73,Female,3,1,2,Self-employed in non-agriculture,Illiterate,Secondary,Employed,Employed,0.0,10067.0,Other Backward Class
TN-SYN-P-000000043,Coimbatore,19,Rural,46,Female,2,5,4,Regular wage/salary earning,Literate,Below Primary,Not in labour force,Not in labour force,0.0,14920.0,Other Backward Class
TN-SYN-P-000000044,Cuddalore,18,Rural,54,Female,2,1,3,Casual labour in non-agriculture,Illiterate,Not literate,Employed,Employed,0.0,8943.0,Other Backward Class
TN-SYN-P-000000045,Thiruvallur,24,Urban,13,Female,1,5,4,Self-employed in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,12550.0,Other Backward Class
TN-SYN-P-000000046,Thanjavur,30,Urban,43,Male,2,2,4,Self-employed in non-agriculture,Literate,Not literate,Employed,Employed,15000.0,9101.0,Other Backward Class
TN-SYN-P-000000047,Pudukkottai,20,Urban,27,Male,1,7,6,Regular wage/salary earning,Literate,Middle,Not in labour force,Not in labour force,0.0,29382.0,Other Backward Class
TN-SYN-P-000000048,Tirupathur,19,Rural,15,Female,1,2,1,Regular wage/salary earning,Literate,Not literate,Not in labour force,Not in labour force,0.0,2100.0,Other Backward Class
TN-SYN-P-000000049,Perambalur,14,Urban,20,Male,2,5,4,Self-employed in agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,17083.0,Scheduled Caste
TN-SYN-P-000000050,Mayiladuthurai,01,Urban,17,Female,1,5,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,23322.0,Other Backward Class
TN-SYN-P-000000051,Thanjavur,19,Urban,22,Female,2,7,4,Self-employed in agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,17959.0,Others
TN-SYN-P-000000052,Coimbatore,18,Urban,34,Male,2,3,7,Self-employed in agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,32827.0,Other Backward Class
TN-SYN-P-000000053,Madurai,19,Urban,25,Male,2,5,2,Self-employed in non-agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,9083.0,Others
TN-SYN-P-000000054,Thiruvallur,16,Urban,60,Female,2,5,5,Self-employed in non-agriculture,Literate,Not literate,Not in labour force,Not in labour force,0.0,16557.0,Other Backward Class
TN-SYN-P-000000055,Tirupathur,30,Urban,76,Male,3,3,6,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,25264.0,Other Backward Class
TN-SYN-P-000000056,Tiruppur,23,Rural,30,Male,1,1,4,Self-employed in agriculture,Illiterate,Not literate,Employed,Employed,0.0,10339.0,Other Backward Class
TN-SYN-P-000000057,Tiruvannamalai,26,Urban,35,Female,2,4,2,Regular wage/salary earning,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,8580.0,Scheduled Caste
TN-SYN-P-000000058,Ranipet,02,Rural,47,Female,1,4,4,Regular wage/salary earning,Illiterate,Diploma/Certificate,Employed,Employed,0.0,13267.0,Other Backward Class
TN-SYN-P-000000059,Unknown,15,Urban,40,Male,2,6,6,Regular wage/salary earning,Literate,Not literate,Not in labour force,Not in labour force,0.0,27750.0,Other Backward Class
TN-SYN-P-000000060,Thiruvallur,16,Urban,46,Male,2,1,3,Casual labour in agriculture,Literate,Primary,Employed,Employed,0.0,12750.0,Other Backward Class
TN-SYN-P-000000061,Krishnagiri,11,Urban,36,Male,2,1,5,Regular wage/salary earning,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,15369.0,Scheduled Caste
TN-SYN-P-000000062,Coimbatore,26,Rural,47,Male,2,2,2,Self-employed in agriculture,Literate,Below Primary,Employed,Employed,0.0,18697.0,Other Backward Class
TN-SYN-P-000000063,Thanjavur,16,Rural,45,Female,2,1,4,Regular wage/salary earning,Literate,Diploma/Certificate,Employed,Employed,0.0,6200.0,Other Backward Class
TN-SYN-P-000000064,Salem,27,Rural,40,Female,2,5,4,Casual labour in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,5752.0,Scheduled Caste
TN-SYN-P-000000065,Sivaganga,02,Rural,16,Male,2,1,5,Self-employed in non-agriculture,Illiterate,Diploma/Certificate,Employed,Employed,6000.0,16592.0,Scheduled Caste
TN-SYN-P-000000066,Sivaganga,02,Rural,24,Male,1,5,4,Self-employed in agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,13113.0,Other Backward Class
TN-SYN-P-000000067,Ranipet,19,Rural,49,Female,2,5,2,Casual labour in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,11644.0,Other Backward Class
TN-SYN-P-000000068,Tiruppur,32,Rural,4,Female,1,3,5,Casual labour in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,4468.0,Other Backward Class
TN-SYN-P-000000069,Kanniyakumari,13,Urban,16,Male,2,1,7,Self-employed in agriculture,Literate,Not literate,Not in labour force,Not in labour force,0.0,13947.0,Scheduled Caste
TN-SYN-P-000000070,Virudhunagar,23,Urban,2,Female,1,5,10,Self-employed in agriculture,Literate,Primary,Not in labour force,Unemployed,0.0,16453.0,Scheduled Caste
TN-SYN-P-000000071,Tenkasi,07,Rural,31,Male,2,2,4,Regular wage/salary earning,Literate,Middle,Not in labour force,Not in labour force,0.0,12433.0,Other Backward Class
TN-SYN-P-000000072,Ranipet,30,Urban,50,Female,3,6,2,Self-employed in non-agriculture,Literate,Not literate,Not in labour force,Not in labour force,0.0,5383.0,Scheduled Caste
TN-SYN-P-000000073,Chennai,02,Rural,62,Female,2,1,1,Regular wage/salary earning,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,8227.0,Other Backward Class
TN-SYN-P-000000074,Chennai,30,Urban,70,Male,2,1,2,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,50000.0,15996.0,Other Backward Class
TN-SYN-P-000000075,Karur,10,Rural,8,Female,1,5,2,Self-employed in agriculture,Literate,Not literate,Not in labour force,Not in labour force,0.0,5607.0,Other Backward Class
TN-SYN-P-000000076,Ramanathapuram,19,Rural,33,Female,2,5,5,Regular wage/salary earning,Literate,Not literate,Employed,Employed,0.0,12137.0,Scheduled Caste
TN-SYN-P-000000077,Theni,09,Urban,5,Female,1,6,10,Others,Literate,Secondary,Not in labour force,Not in labour force,0.0,11477.0,Other Backward Class
TN-SYN-P-000000078,Theni,18,Urban,42,Female,2,6,3,Regular wage/salary earning,Illiterate,Primary,Not in labour force,Not in labour force,0.0,9663.0,Scheduled Caste
TN-SYN-P-000000079,Chennai,18,Urban,13,Male,2,5,11,Self-employed in non-agriculture,Literate,Not literate,Employed,Employed,24200.0,97333.0,Other Backward Class
TN-SYN-P-000000080,The Nilgiris,01,Rural,19,Female,1,3,6,Regular wage/salary earning,Literate,Not literate,Employed,Employed,0.0,7375.0,Scheduled Caste
TN-SYN-P-000000081,Karur,23,Urban,14,Male,2,5,6,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,18411.0,16639.0,Scheduled Caste
TN-SYN-P-000000082,Virudhunagar,35,Rural,4,Female,1,5,4,Casual labour in non-agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,6992.0,Other Backward Class
TN-SYN-P-000000083,Sivaganga,22,Urban,2,Male,1,8,2,Self-employed in non-agriculture,Literate,Not literate,Unemployed,Unemployed,15000.0,11564.0,Other Backward Class
TN-SYN-P-000000084,Cuddalore,26,Urban,71,Male,3,1,1,Self-employed in non-agriculture,Literate,Not literate,Not in labour force,Not in labour force,0.0,10639.0,Scheduled Caste
TN-SYN-P-000000085,Chennai,26,Urban,20,Male,2,5,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,60000.0,23100.0,Scheduled Caste
TN-SYN-P-000000086,Thanjavur,38,Rural,35,Female,2,5,6,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,0.0,17123.0,Other Backward Class
TN-SYN-P-000000087,Coimbatore,15,Urban,48,Female,3,1,3,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,9491.0,Other Backward Class
TN-SYN-P-000000088,Tenkasi,01,Rural,14,Male,1,1,2,Regular wage/salary earning,Illiterate,Diploma/Certificate,Employed,Employed,0.0,7710.0,Other Backward Class
TN-SYN-P-000000089,Thiruvallur,19,Urban,41,Female,2,3,4,Self-employed in agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,15495.0,Scheduled Caste
TN-SYN-P-000000090,Dharmapuri,26,Rural,43,Female,1,2,4,Casual labour in agriculture,Literate,Below Primary,Employed,Employed,0.0,14683.0,Other Backward Class
TN-SYN-P-000000091,Kancheepuram,33,Urban,14,Male,1,5,4,Self-employed in non-agriculture,Literate,Not literate,Not in labour force,Not in labour force,0.0,11368.0,Scheduled Caste
TN-SYN-P-000000092,Thoothukudi,27,Rural,25,Female,1,1,3,Casual labour in non-agriculture,Literate,Primary,Employed,Employed,0.0,5955.0,Scheduled Caste
TN-SYN-P-000000093,Tenkasi,35,Urban,50,Female,2,2,2,Others,Literate,Diploma/Certificate,Not in labour force,Not in labour force,8500.0,13148.0,Scheduled Caste
TN-SYN-P-000000094,Coimbatore,33,Rural,28,Female,2,2,6,Casual labour in agriculture,Illiterate,Higher Secondary,Employed,Employed,0.0,12108.0,Scheduled Caste
TN-SYN-P-000000095,Salem,19,Rural,35,Female,1,1,2,Regular wage/salary earning,Literate,Below Primary,Employed,Employed,0.0,9100.0,Other Backward Class
TN-SYN-P-000000096,Ariyalur,03,Rural,41,Female,2,1,1,Others,Literate,Primary,Not in labour force,Not in labour force,0.0,9673.0,Scheduled Caste
