synthetic_person_id,district,district_code,urban_rural,age,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,individual_income,consumption_expenditure,social_group
TN-SYN-P-000000001,Cuddalore,22,Urban,22,Male,2,2,5,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,17075.0,Scheduled Caste
TN-SYN-P-000000002,Pudukkottai,31,Urban,46,Female,2,1,2,Others,Literate,Not literate,Not in labour force,Not in labour force,0.0,9438.0,Scheduled Caste
TN-SYN-P-000000003,Madurai,22,Rural,62,Female,2,2,3,Regular wage/salary earning,Literate,Not literate,Not in labour force,Not in labour force,0.0,13712.0,Other Backward Class
TN-SYN-P-000000004,Theni,23,Rural,14,Female,1,4,4,Self-employed in non-agriculture,Illiterate,Primary,Not in labour force,Not in labour force,0.0,18125.0,Other Backward Class
TN-SYN-P-000000005,Ramanathapuram,27,Urban,62,Female,2,5,4,Self-employed in agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,20487.0,Other Backward Class
TN-SYN-P-000000006,Perambalur,26,Urban,41,Male,2,5,3,Regular wage/salary earning,Literate,Middle,Not in labour force,Not in labour force,0.0,12883.0,Other Backward Class
TN-SYN-P-000000007,Tirunelveli,35,Rural,45,Female,2,3,2,Regular wage/salary earning,Literate,Middle,Employed,Employed,0.0,7700.0,Other Backward Class
TN-SYN-P-000000008,Dharmapuri,31,Urban,24,Male,2,5,6,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,28017.0,Scheduled Caste
TN-SYN-P-000000009,Cuddalore,08,Urban,16,Male,2,5,2,Regular wage/salary earning,Literate,Not literate,Employed,Employed,16000.0,7972.0,Other Backward Class
TN-SYN-P-000000010,Mayiladuthurai,17,Urban,18,Male,2,1,3,Self-employed in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,70000.0,9633.0,Other Backward Class
TN-SYN-P-000000011,Thanjavur,16,Rural,5,Male,1,5,3,Regular wage/salary earning,Literate,Middle,Employed,Employed,0.0,16212.0,Other Backward Class
TN-SYN-P-000000012,Kancheepuram,15,Rural,40,Female,1,5,4,Self-employed in agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,11170.0,Other Backward Class
TN-SYN-P-000000013,Kanniyakumari,11,Rural,43,Female,2,2,4,Self-employed in agriculture,Literate,Below Primary,Employed,Employed,0.0,22175.0,Other Backward Class
TN-SYN-P-000000014,Chennai,07,Rural,30,Female,1,5,4,Regular wage/salary earning,Literate,Below Primary,Employed,Employed,52000.0,12321.0,Others
TN-SYN-P-000000015,Tirunelveli,24,Urban,47,Male,3,2,4,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,8536.0,Other Backward Class
TN-SYN-P-000000016,Chennai,05,Rural,25,Female,2,2,3,Regular wage/salary earning,Literate,Primary,Not in labour force,Not in labour force,0.0,3542.0,Scheduled Caste
TN-SYN-P-000000017,Salem,22,Rural,36,Male,1,1,3,Self-employed in non-agriculture,Illiterate,Diploma/Certificate,Employed,Employed,0.0,10483.0,Other Backward Class
TN-SYN-P-000000018,Salem,30,Urban,75,Female,3,1,2,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,8040.0,Other Backward Class
TN-SYN-P-000000019,Thoothukudi,36,Rural,22,Female,1,1,6,Regular wage/salary earning,Illiterate,Diploma/Certificate,Employed,Employed,0.0,14567.0,Other Backward Class
TN-SYN-P-000000020,Perambalur,02,Urban,60,Male,3,6,4,Self-employed in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,18620.0,Scheduled Caste
TN-SYN-P-000000021,Cuddalore,01,Urban,2,Male,1,6,4,Casual labour in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,12236.0,Other Backward Class
TN-SYN-P-000000022,Tiruchirappalli,19,Rural,61,Female,2,1,2,Others,Illiterate,Not literate,Employed,Employed,0.0,8481.0,Other Backward Class
