synthetic_person_id,district,district_code,urban_rural,age,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,individual_income,consumption_expenditure,social_group
TN-SYN-P-000000001,Chennai,02,Urban,15,Female,2,1,4,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,3.0,9636.0,Other Backward Class
TN-SYN-P-000000002,Chennai,02,Urban,18,Male,2,5,4,Self-employed in non-agriculture,Literate,Not literate,Not in labour force,Not in labour force,0.0,10464.0,Other Backward Class
TN-SYN-P-000000003,Chennai,02,Urban,14,Male,2,5,4,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,11984.0,Other Backward Class
TN-SYN-P-000000004,Chennai,02,Urban,14,Male,2,5,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,12680.0,Other Backward Class
TN-SYN-P-000000005,Chennai,02,Rural,13,Female,2,1,4,Self-employed in non-agriculture,Literate,Not literate,Not in labour force,Not in labour force,0.0,9292.0,Other Backward Class
TN-SYN-P-000000006,Chennai,02,Urban,45,Male,2,1,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Employed,0.0,9948.0,Other Backward Class
TN-SYN-P-000000007,Chennai,02,Rural,15,Male,2,1,4,Self-employed in non-agriculture,Literate,Not literate,Employed,Not in labour force,0.0,11153.0,Other Backward Class
TN-SYN-P-000000008,Chennai,02,Urban,16,Female,2,5,4,Self-employed in non-agriculture,Literate,Not literate,Not in labour force,Not in labour force,67.0,9350.0,Other Backward Class
TN-SYN-P-000000009,Chennai,02,Rural,45,Female,2,1,4,Self-employed in non-agriculture,Literate,Not literate,Employed,Not in labour force,21.0,7926.0,Other Backward Class
TN-SYN-P-000000010,Chennai,02,Urban,41,Female,2,1,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Not in labour force,0.0,12422.0,Other Backward Class
TN-SYN-P-000000011,Chennai,02,Urban,16,Female,2,1,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,9085.0,Other Backward Class
TN-SYN-P-000000012,Chennai,02,Urban,49,Female,2,5,4,Self-employed in non-agriculture,Literate,Not literate,Not in labour force,Not in labour force,110.0,9694.0,Other Backward Class
TN-SYN-P-000000013,Chennai,02,Urban,34,Male,2,5,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,10654.0,Other Backward Class
