reference_person_id,reference_household_id,source_record_id,primary_source_id,state,state_code,district,district_code,urban_rural,age,age_group,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,employment_type,occupation_group,industry_group,individual_income,household_income,consumption_expenditure,income_band,dwelling_type,house_ownership,electricity,drinking_water,toilet_facility,cooking_fuel,health_insurance,social_group,survey_weight,normalized_reference_weight,calibrated_reference_weight_gender_ur,reference_year,record_quality_flag
PLFS2024_TN_P000001,PLFS2024_TN_HP4_Q6_V1_1_33_34_331_01_11_1_3321_14872_2_2_02,P4|Q6|V1|1|33|34|331|01|11|1|3321|14872|2|2|02_01,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,Tamil Nadu,33,Kallakurichi,34,Rural,52,45-59,Male,2,1,4,Casual labour in agriculture,Illiterate,Not literate,Employed,Employed,,921,01611,0,,8600,,,,,,,,,Scheduled Caste,1717200,0.6779486914643922,0.6801079054720423,2024,A
PLFS2024_TN_P000002,PLFS2024_TN_HP4_Q4_V1_1_33_34_331_01_03_1_3321_14093_1_3_01,P4|Q4|V1|1|33|34|331|01|03|1|3321|14093|1|3|01_01,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,Tamil Nadu,33,Kallakurichi,34,Rural,59,45-59,Male,2,1,4,Casual labour in non-agriculture,Illiterate,Not literate,Employed,Employed,,921,01611,0,,7355,,,,,,,,,Scheduled Caste,2164422,0.8545114504290372,0.8572330031316147,2024,A
PLFS2024_TN_P000003,PLFS2024_TN_HP4_Q6_V1_1_33_34_331_01_14_2_3321_10035_2_2_02,P4|Q6|V1|1|33|34|331|01|14|2|3321|10035|2|2|02_01,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,Tamil Nadu,33,Kallakurichi,34,Rural,57,45-59,Male,2,1,2,Self-employed in non-agriculture,Literate,Secondary,Employed,Employed,,723,45200,0,,7437,,,,,,,,,Other Backward Class,2083901,0.8227218472462953,0.8253421525280074,2024,A
PLFS2024_TN_P000004,PLFS2024_TN_HP4_Q6_V1_1_33_34_331_01_08_2_3321_13650_2_3_01,P4|Q6|V1|1|33|34|331|01|08|2|3321|13650|2|3|01_01,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,Tamil Nadu,33,Kallakurichi,34,Rural,58,45-59,Male,2,1,2,Self-employed in agriculture,Literate,Primary,Employed,Employed,,611,01112,0,,7933,,,,,,,,,Other Backward Class,6060269,2.3925876068438274,2.400207812827363,2024,A
PLFS2024_TN_P000005,PLFS2024_TN_HP4_Q3_V1_1_33_34_331_01_01_1_3321_15719_1_3_02,P4|Q3|V1|1|33|34|331|01|01|1|3321|15719|1|3|02_01,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,Tamil Nadu,33,Kallakurichi,34,Rural,50,45-59,Male,3,1,3,Regular wage/salary earning,Illiterate,Not literate,Not in labour force,Not in labour force,,,,0,,4155,,,,,,,,,Scheduled Tribe,5514875,2.1772666491030104,2.1842010745342,2024,A
PLFS2024_TN_P000006,PLFS2024_TN_HP4_Q6_V1_1_33_34_331_01_08_2_3321_13650_1_1_01,P4|Q6|V1|1|33|34|331|01|08|2|3321|13650|1|1|01_01,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,Tamil Nadu,33,Kallakurichi,34,Rural,50,45-59,Male,2,1,4,Self-employed in agriculture,Literate,Middle,Employed,Employed,,611,01112,0,,13967,,,,,,,,,Other Backward Class,2286374,0.9026579673294947,0.9055328629546558,2024,A
PLFS2024_TN_P000007,PLFS2024_TN_HP4_Q5_V1_1_33_34_331_01_03_2_3321_15616_1_3_01,P4|Q5|V1|1|33|34|331|01|03|2|3321|15616|1|3|01_01,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,Tamil Nadu,33,Kallakurichi,34,Rural,53,45-59,Male,2,1,2,Self-employed in non-agriculture,Literate,Primary,Employed,Employed,,112,47211,0,,9133,,,,,,,,,Other Backward Class,2411367,0.952005067720951,0.95503713003401,2024,A
PLFS2024_TN_P000008,PLFS2024_TN_HP4_Q4_V1_1_33_34_331_01_10_1_3321_14776_2_2_01,P4|Q4|V1|1|33|34|331|01|10|1|3321|14776|2|2|01_01,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,Tamil Nadu,33,Kallakurichi,34,Rural,51,45-59,Male,2,1,3,Self-employed in agriculture,Literate,Primary,Employed,Employed,,611,01124,0,,7550,,,,,,,,,Other Backward Class,3701995,1.4615435977508284,1.466198500767513,2024,A
PLFS2024_TN_P000009,PLFS2024_TN_HP4_Q3_V1_1_33_34_331_01_02_1_3321_12119_2_2_02,P4|Q3|V1|1|33|34|331|01|02|1|3321|12119|2|2|02_01,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,Tamil Nadu,33,Kallakurichi,34,Rural,50,45-59,Male,2,1,4,Casual labour in non-agriculture,Literate,Primary,Employed,Employed,,711,41001,0,,8067,,,,,,,,,Scheduled Caste,2901441,1.1454857496570798,1.149134032937752,2024,A
PLFS2024_TN_P000010,PLFS2024_TN_HP4_Q5_V1_1_33_34_331_01_03_2_3321_15616_2_1_01,P4|Q5|V1|1|33|34|331|01|03|2|3321|15616|2|1|01_03,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,Tamil Nadu,33,Kallakurichi,34,Rural,45,45-59,Male,2,3,5,Regular wage/salary earning,Literate,Middle,Employed,Employed,,512,56101,12000,,10117,,,,,,,,,Scheduled Caste,8597049,3.3941055904992203,3.404915553593358,2024,A
