state_name,state_code,district_name,district_code
Andhra Pradesh,28,Y.S.R. (Cuddapah),10
Andhra Pradesh,28,Chittoor,13
Andhra Pradesh,28,Annamayya,17
Andhra Pradesh,28,Tirupathi,16
Andhra Pradesh,28,Ananthapuramu,12
Andhra Pradesh,28,Sri Satya Sai,19
Andhra Pradesh,28,Guntur,07
Andhra Pradesh,28,Palnadu,14
Andhra Pradesh,28,Bapatla,15
Andhra Pradesh,28,Kurnool,11
Andhra Pradesh,28,Nandyal,18
Andhra Pradesh,28,Prakasam,08
Andhra Pradesh,28,Sri Potti Sriramulu Nellore,09
Andhra Pradesh,28,West Godavari,05
Andhra Pradesh,28,Krishna,06
Andhra Pradesh,28,Eluru,23
Andhra Pradesh,28,Ntr,26
Andhra Pradesh,28,East Godavari,04
Andhra Pradesh,28,Dr. Br Ambedkar Konaseema,22
Andhra Pradesh,28,Kakinada,24
Puducherry,34,Yanam,01
Andhra Pradesh,28,Srikakulam,01
Andhra Pradesh,28,Vizianagaram,02
Andhra Pradesh,28,Visakhapatnam,03
Andhra Pradesh,28,Alluri Sitharama Raju,20
Andhra Pradesh,28,Anakapalli,21
Andhra Pradesh,28,Parvathipuram Manyam,25
Assam,18,Kokrajhar,01
Assam,18,Dhubri,02
Assam,18,Goalpara,03
Assam,18,Barpeta,04
Assam,18,Bongaigaon,20
Assam,18,Chirang,21
Assam,18,Kamrup,22
Assam,18,Kamrup Metropolitan,23
Assam,18,Nalbari,24
Assam,18,Baksa,25
Assam,18,South Salma Mankachar,31
Assam,18,Karbi Anglong,15
Assam,18,Dima Hasao,16
Assam,18,Cachar,17
Assam,18,Karimganj,18
Assam,18,Hailakandi,19
Assam,18,West Karbi angling,29
Assam,18,Tinsukia,10
Assam,18,Dibrugarh,11
Assam,18,Morigaon,05
Assam,18,Nagaon,06
Assam,18,Sivasagar,12
Assam,18,Jorhat,13
Assam,18,Golaghat,14
Assam,18,Hojai,28
Assam,18,Charaideo,30
Assam,18,Majuli,33
Assam,18,Sonitpur,07
Assam,18,Lakhimpur,08
Assam,18,Dhemaji,09
Assam,18,Darrang,26
Assam,18,Udalguri,27
Assam,18,Biswanath,32
Bihar,10,Sheohar,03
Bihar,10,Sitamarhi,04
Bihar,10,Muzaffarpur,14
Bihar,10,Saran,17
Bihar,10,Vaishali,18
Bihar,10,Madhubani,05
Bihar,10,Darbhanga,13
Bihar,10,Samastipur,19
Bihar,10,Begusarai,20
Bihar,10,Pashchim Champaran,01
Bihar,10,Purba Champaran,02
Bihar,10,Gopalganj,15
Bihar,10,Siwan,16
Bihar,10,Supaul,06
Bihar,10,Araria,07
Bihar,10,Kishanganj,08
Bihar,10,Purnia,09
Bihar,10,Katihar,10
Bihar,10,Madhepura,11
Bihar,10,Saharsa,12
Bihar,10,Khagaria,21
Bihar,10,Nalanda,27
Bihar,10,Patna,28
Bihar,10,Bhojpur,29
Bihar,10,Buxar,30
Bihar,10,Kaimur (Bhabua),31
Bihar,10,Rohtas,32
Bihar,10,Bhagalpur,22
Bihar,10,Banka,23
Bihar,10,Munger,24
Bihar,10,Lakhisarai,25
Bihar,10,Sheikhpura,26
Bihar,10,Jamui,36
Bihar,10,Aurangabad,33
Bihar,10,Gaya,34
Bihar,10,Nawada,35
Bihar,10,Jehanabad,37
Bihar,10,Arwal,38
Chhattisgarh,22,Raipur,11
Chhattisgarh,22,Mahasamund,12
Chhattisgarh,22,Dhamtari,13
Chhattisgarh,22,Uttar Bastar Kanker,14
Chhattisgarh,22,Bastar,15
Chhattisgarh,22,Narayanpur,16
Chhattisgarh,22,Dakshin Bastar Dantewada,17
Chhattisgarh,22,Bijapur,18
Chhattisgarh,22,Balodabazar-Bhatapara,19
Chhattisgarh,22,Gariyaband,20
Chhattisgarh,22,Kondagaon,21
Chhattisgarh,22,Sukma,22
Chhattisgarh,22,Korea,01
Chhattisgarh,22,Surguja,02
Chhattisgarh,22,Jashpur,03
Chhattisgarh,22,Surajpur,26
Chhattisgarh,22,Balrampur-Ramanujganj,27
Chhattisgarh,22,Raigarh,04
Chhattisgarh,22,Korba,05
Chhattisgarh,22,Janjgir-Champa,06
Chhattisgarh,22,Bilaspur,07
Chhattisgarh,22,Mungeli,25
Chhattisgarh,22,Kabeerdham,08
Chhattisgarh,22,Rajnandgaon,09
Chhattisgarh,22,Durg,10
Chhattisgarh,22,Bemetara,23
Chhattisgarh,22,Balod,24
Gujarat,24,Gandhinagar,06
Gujarat,24,Ahmadabad,07
Gujarat,24,Amreli,13
Gujarat,24,Bhavnagar,14
Gujarat,24,Botad,28
D & N Haveli and Daman & Diu,25,Diu,01
Gujarat,24,Jamnagar,10
Gujarat,24,Porbandar,11
Gujarat,24,Devbhumi Dwarka,30
Gujarat,24,Rajkot,09
Gujarat,24,Junagadh,12
Gujarat,24,Gir Somnath,31
Gujarat,24,Morbi,33
Gujarat,24,Kachchh,01
Gujarat,24,Surendranagar,08
Gujarat,24,Panch Mahals,17
Gujarat,24,Dohad,18
Gujarat,24,Vadodara,19
Gujarat,24,Narmada,20
Gujarat,24,Bharuch,21
Gujarat,24,Chhota Udepur,29
Gujarat,24,Mahisagar,32
Gujarat,24,Banas Kantha,02
Gujarat,24,Patan,03
Gujarat,24,Mahesana,04
Gujarat,24,Sabar Kantha,05
Gujarat,24,Anand,15
Gujarat,24,Kheda,16
Gujarat,24,Arvalli,27
Gujarat,24,Dang,22
Gujarat,24,Surat,25
Gujarat,24,Tapi,26
Gujarat,24,Navsari,23
Gujarat,24,Valsad,24
D & N Haveli and Daman & Diu,25,Daman,02
D & N Haveli and Daman & Diu,25,Dadra & Nagar  Haveli,03
Goa,30,North Goa,01
Goa,30,South Goa,02
Chandigarh,4,Chandigarh,01
Haryana,6,Panchkula,01
Haryana,6,Ambala,02
Haryana,6,Yamunanagar,03
Haryana,6,Kurukshetra,04
Haryana,6,Kaithal,05
Haryana,6,Fatehabad,10
Haryana,6,Sirsa,11
Haryana,6,Hisar,12
Haryana,6,Bhiwani,13
Haryana,6,Charkhi Dadri,22
Haryana,6,Karnal,06
Haryana,6,Panipat,07
Haryana,6,Sonipat,08
Haryana,6,Jind,09
Haryana,6,Rohtak,14
Haryana,6,Jhajjar,15
Haryana,6,Mahendragarh,16
Haryana,6,Rewari,17
Haryana,6,Gurugram,18
Haryana,6,Nuh (Mewat),19
Haryana,6,Faridabad,20
Haryana,6,Palwal,21
Himachal Pradesh,2,Solan,09
Himachal Pradesh,2,Sirmaur,10
Himachal Pradesh,2,Shimla,11
Himachal Pradesh,2,Kinnaur,12
Himachal Pradesh,2,Hamirpur,06
Himachal Pradesh,2,Una,07
Himachal Pradesh,2,Bilaspur,08
Himachal Pradesh,2,Chamba,01
Himachal Pradesh,2,Kangra,02
Himachal Pradesh,2,Lahul & Spiti,03
Himachal Pradesh,2,Kullu,04
Himachal Pradesh,2,Mandi,05
Jammu  & Kashmir,1,Poonch,05
Jammu  & Kashmir,1,Rajouri,06
Jammu  & Kashmir,1,Kathua,07
Jammu  & Kashmir,1,Jammu,21
Jammu  & Kashmir,1,Samba,22
Jammu  & Kashmir,1,Doda,16
Jammu  & Kashmir,1,Ramban,17
Jammu  & Kashmir,1,Kishtwar,18
Jammu  & Kashmir,1,Udhampur,19
Jammu  & Kashmir,1,Reasi,20
Jammu  & Kashmir,1,Budgam,02
Jammu  & Kashmir,1,Srinagar,10
Jammu  & Kashmir,1,Ganderbal,11
Ladakh,37,Leh,01
Ladakh,37,Kargil,02
Jammu  & Kashmir,1,Pulwama,12
Jammu  & Kashmir,1,Shopian,13
Jammu  & Kashmir,1,Anantnag,14
Jammu  & Kashmir,1,Kulgam,15
Jammu  & Kashmir,1,Kupwara,01
Jammu  & Kashmir,1,Baramulla,08
Jammu  & Kashmir,1,Bandipore,09
Jharkhand,20,Lohardaga,11
Jharkhand,20,Ranchi,19
Jharkhand,20,Khunti,20
Jharkhand,20,Gumla,21
Jharkhand,20,Simdega,22
Jharkhand,20,Deoghar,05
Jharkhand,20,Godda,06
Jharkhand,20,Sahibganj,07
Jharkhand,20,Pakur,08
Jharkhand,20,Dumka,17
Jharkhand,20,Chatra,02
Jharkhand,20,Koderma,03
Jharkhand,20,Hazaribagh,15
Jharkhand,20,Ramgarh,16
Jharkhand,20,Purbi Singhbhum,12
Jharkhand,20,Pashchimi Singhbhum,23
Jharkhand,20,Saraikela-Kharsawan,24
Jharkhand,20,Garhwa,01
Jharkhand,20,Palamu,13
Jharkhand,20,Latehar,14
Jharkhand,20,Giridih,04
Jharkhand,20,Dhanbad,09
Jharkhand,20,Bokaro,10
Jharkhand,20,Jamtara,18
Karnataka,29,Tumakuru,17
Karnataka,29,Bengaluru (Urban),18
Karnataka,29,Kolar,27
Karnataka,29,Chikkaballapura,28
Karnataka,29,Bengaluru (Rural),29
Karnataka,29,Ramanagara,30
Karnataka,29,Udupi,15
Karnataka,29,Hassan,20
Karnataka,29,Dakshina Kannada,21
Karnataka,29,Kodagu,22
Karnataka,29,Mandya,19
Karnataka,29,Mysuru,23
Karnataka,29,Chamarajanagar,24
Karnataka,29,Shivamogga,14
Karnataka,29,Chikkamagaluru,16
Karnataka,29,Gadag,07
Karnataka,29,Dharwad,08
Karnataka,29,Uttara Kannada,09
Karnataka,29,Haveri,10
Karnataka,29,Davanagere,13
Karnataka,29,Belagavi,01
Karnataka,29,Bagalkote,02
Karnataka,29,Bijapur,03
Karnataka,29,Raichur,05
Karnataka,29,Koppal,06
Karnataka,29,Ballari,11
Karnataka,29,Chitradurga,12
Karnataka,29,Vijayanagara,31
Karnataka,29,Bidar,04
Karnataka,29,Kalaburagi,25
Karnataka,29,Yadgir,26
Kerala,32,Wayanad,03
Kerala,32,Kozhikode,04
Kerala,32,Malappuram,05
Puducherry,34,Mahe,03
Kerala,32,Kasaragod,01
Kerala,32,Kannur,02
Kerala,32,Palakkad,06
Kerala,32,Thrissur,07
Kerala,32,Thiruvananthapuram,14
Kerala,32,Ernakulam,08
Lakshadweep,31,Lakshadweep,01
Kerala,32,Alappuzha,11
Kerala,32,Pathanamthitta,12
Kerala,32,Kollam,13
Kerala,32,Idukki,09
Kerala,32,Kottayam,10
Madhya Pradesh,23,Vidisha,26
Madhya Pradesh,23,Bhopal,27
Madhya Pradesh,23,Sehore,28
Madhya Pradesh,23,Raisen,29
Madhya Pradesh,23,Narmadapuram,32
Madhya Pradesh,23,Betul,30
Madhya Pradesh,23,Harda,31
Madhya Pradesh,23,Chhindwara,38
Madhya Pradesh,23,Balaghat,40
Madhya Pradesh,23,Dhar,21
Madhya Pradesh,23,Indore,22
Madhya Pradesh,23,Khargone (West Nimar),23
Madhya Pradesh,23,Barwani,24
Madhya Pradesh,23,Khandwa (East Nimar),49
