canonical_variable,display_name,description,data_type,level,unit,allowed_values,minimum,maximum,missing_allowed,source_ids,source_variables,harmonization_method,derivation_method,reference_year,quality_flag,sensitivity_class,notes
reference_person_id,reference person id,Canonical reference person id field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
reference_household_id,reference household id,Canonical reference household id field for the Tamil Nadu reference template.,string,HOUSEHOLD,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
source_record_id,source record id,Canonical source record id field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
primary_source_id,primary source id,Canonical primary source id field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
state,state,Canonical state field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
state_code,state code,Canonical state code field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
district,district,Canonical district field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
district_code,district code,Canonical district code field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
urban_rural,urban rural,Canonical urban rural field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
age,age,Canonical age field for the Tamil Nadu reference template.,number,PERSON,,,0,120,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
age_group,age group,Canonical age group field for the Tamil Nadu reference template.,string,PERSON,,,0,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
gender,gender,Canonical gender field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
marital_status,marital status,Canonical marital status field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
widow_status,widow status,Canonical widow status field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
relationship_to_head,relationship to head,Canonical relationship to head field for the Tamil Nadu reference template.,string,HOUSEHOLD,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
female_head_of_household,female head of household,Canonical female head of household field for the Tamil Nadu reference template.,string,HOUSEHOLD,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
number_of_children,number of children,Canonical number of children field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
number_of_dependents,number of dependents,Canonical number of dependents field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
child_dependents,child dependents,Canonical child dependents field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
elderly_dependents,elderly dependents,Canonical elderly dependents field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
household_size,household size,Canonical household size field for the Tamil Nadu reference template.,number,HOUSEHOLD,,,0,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
household_type,household type,Canonical household type field for the Tamil Nadu reference template.,string,HOUSEHOLD,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
literacy_status,literacy status,Canonical literacy status field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
education_level,education level,Canonical education level field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
