district,district_code,urban_rural,age,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,individual_income,consumption_expenditure,social_group,synthetic_data_label
Dindigul,11,Rural,62,Male,2,1,3,Self-employed in agriculture,Literate,Primary,Employed,Employed,0.0,15305.0,Other Backward Class,RESAMPLED_BASELINE
Chennai,02,Urban,26,Female,1,5,4,Self-employed in agriculture,Literate,Diploma/Certificate,Employed,Employed,35000.0,43860.0,Other Backward Class,RESAMPLED_BASELINE
Tirunelveli,27,Urban,35,Male,2,3,7,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,16000.0,22817.0,Other Backward Class,RESAMPLED_BASELINE
Sivaganga,21,Rural,39,Female,2,2,4,Self-employed in agriculture,Literate,Middle,Employed,Employed,0.0,12429.0,Other Backward Class,RESAMPLED_BASELINE
Ariyalur,15,Rural,68,Male,2,1,4,Self-employed in agriculture,Literate,Below Primary,Employed,Employed,0.0,10638.0,Other Backward Class,RESAMPLED_BASELINE
Tenkasi,33,Rural,53,Male,2,1,4,Self-employed in agriculture,Literate,Middle,Employed,Employed,0.0,7620.0,Scheduled Caste,RESAMPLED_BASELINE
Salem,07,Urban,14,Male,1,5,5,Self-employed in agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,20792.0,Other Backward Class,RESAMPLED_BASELINE
Sivaganga,21,Urban,17,Female,1,5,2,Others,Literate,Secondary,Not in labour force,Not in labour force,0.0,9131.0,Other Backward Class,RESAMPLED_BASELINE
Pudukkottai,20,Rural,15,Male,1,5,3,Self-employed in agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,8408.0,Other Backward Class,RESAMPLED_BASELINE
Salem,07,Rural,23,Female,1,5,8,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,0.0,17738.0,Other Backward Class,RESAMPLED_BASELINE
Kancheepuram,03,Rural,38,Male,2,3,8,Regular wage/salary earning,Literate,Diploma/Certificate,Employed,Employed,26000.0,35417.0,Scheduled Caste,RESAMPLED_BASELINE
Sivaganga,21,Rural,86,Male,2,1,2,Others,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,5610.0,Other Backward Class,RESAMPLED_BASELINE
Madurai,22,Rural,44,Female,2,2,7,Self-employed in agriculture,Literate,Secondary,Employed,Employed,0.0,16838.0,Other Backward Class,RESAMPLED_BASELINE
Salem,07,Rural,3,Male,1,5,4,Regular wage/salary earning,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,13792.0,Scheduled Caste,RESAMPLED_BASELINE
Kallakurichi,34,Rural,67,Female,2,2,2,Casual labour in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,5667.0,Other Backward Class,RESAMPLED_BASELINE
Coimbatore,31,Urban,7,Male,1,6,6,Self-employed in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,25167.0,Other Backward Class,RESAMPLED_BASELINE
Krishnagiri,30,Rural,52,Female,2,2,2,Casual labour in agriculture,Literate,Primary,Employed,Employed,0.0,4281.0,Scheduled Caste,RESAMPLED_BASELINE
Sivaganga,21,Rural,28,Male,2,1,3,Casual labour in non-agriculture,Literate,Higher Secondary,Employed,Employed,0.0,14967.0,Other Backward Class,RESAMPLED_BASELINE
