district,district_code,urban_rural,age,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,individual_income,consumption_expenditure,social_group,synthetic_data_label
Kallakurichi,21,Urban,32,Male,2,1,2,Regular wage/salary earning,Literate,Higher Secondary,Employed,Not in labour force,70.0,14315.0,Other Backward Class,SYNTHETIC_CTGAN_CANDIDATE
Erode,24,Urban,13,Female,2,1,6,Regular wage/salary earning,Literate,Diploma/Certificate,Employed,Not in labour force,0.0,22534.0,Other Backward Class,SYNTHETIC_CTGAN_CANDIDATE
Kancheepuram,05,Urban,25,Male,4,1,4,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Employed,0.0,26704.0,Scheduled Caste,SYNTHETIC_CTGAN_CANDIDATE
Kanniyakumari,35,Urban,61,Female,1,7,3,Self-employed in agriculture,Literate,Middle,Employed,Not in labour force,19.0,15572.0,Scheduled Tribe,SYNTHETIC_CTGAN_CANDIDATE
Chennai,06,Urban,19,Female,1,5,3,Self-employed in agriculture,Literate,Primary,Employed,Not in labour force,0.0,28043.0,Others,SYNTHETIC_CTGAN_CANDIDATE
Salem,24,Rural,25,Male,2,2,5,Casual labour in non-agriculture,Literate,Secondary,Not in labour force,Employed,84.0,1282.0,Scheduled Caste,SYNTHETIC_CTGAN_CANDIDATE
Viluppuram,09,Rural,63,Female,1,7,2,Casual labour in agriculture,Illiterate,Primary,Not in labour force,Unemployed,0.0,3783.0,Other Backward Class,SYNTHETIC_CTGAN_CANDIDATE
Erode,35,Rural,41,Male,3,2,5,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Employed,0.0,7425.0,Scheduled Caste,SYNTHETIC_CTGAN_CANDIDATE
Virudhunagar,18,Urban,20,Male,2,1,4,Self-employed in agriculture,Illiterate,Secondary,Employed,Not in labour force,187.0,15508.0,Scheduled Caste,SYNTHETIC_CTGAN_CANDIDATE
Tiruppur,13,Rural,20,Male,2,2,13,Self-employed in non-agriculture,Literate,Below Primary,Not in labour force,Employed,0.0,3471.0,Other Backward Class,SYNTHETIC_CTGAN_CANDIDATE
Tenkasi,19,Urban,1,Male,3,5,5,Self-employed in non-agriculture,Literate,Higher Secondary,Employed,Not in labour force,0.0,14643.0,Other Backward Class,SYNTHETIC_CTGAN_CANDIDATE
Tenkasi,36,Rural,1,Female,2,2,5,Self-employed in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,7981.0,Scheduled Caste,SYNTHETIC_CTGAN_CANDIDATE
Coimbatore,22,Rural,55,Female,1,2,3,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Unemployed,0.0,13628.0,Scheduled Caste,SYNTHETIC_CTGAN_CANDIDATE
Kallakurichi,13,Urban,33,Female,2,5,3,Regular wage/salary earning,Literate,Below Primary,Employed,Not in labour force,0.0,11669.0,Others,SYNTHETIC_CTGAN_CANDIDATE
