district,district_code,urban_rural,age,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,individual_income,consumption_expenditure,social_group,synthetic_data_label
Cuddalore,22,Urban,22,Male,2,2,5,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,17075.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Pudukkottai,31,Urban,46,Female,2,1,2,Others,Literate,Not literate,Not in labour force,Not in labour force,0.0,9438.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Madurai,22,Rural,62,Female,2,2,3,Regular wage/salary earning,Literate,Not literate,Not in labour force,Not in labour force,0.0,13712.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Theni,23,Rural,14,Female,1,4,4,Self-employed in non-agriculture,Illiterate,Primary,Not in labour force,Not in labour force,0.0,18125.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Ramanathapuram,27,Urban,62,Female,2,5,4,Self-employed in agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,20487.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Perambalur,26,Urban,41,Male,2,5,3,Regular wage/salary earning,Literate,Middle,Not in labour force,Not in labour force,0.0,12883.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Tirunelveli,35,Rural,45,Female,2,3,2,Regular wage/salary earning,Literate,Middle,Employed,Employed,0.0,7700.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Dharmapuri,31,Urban,24,Male,2,5,6,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,28017.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Cuddalore,08,Urban,16,Male,2,5,2,Regular wage/salary earning,Literate,Not literate,Employed,Employed,16000.0,7972.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Mayiladuthurai,17,Urban,18,Male,2,1,3,Self-employed in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,70000.0,9633.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thanjavur,16,Rural,5,Male,1,5,3,Regular wage/salary earning,Literate,Middle,Employed,Employed,0.0,16212.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Kancheepuram,15,Rural,40,Female,1,5,4,Self-employed in agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,11170.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Kanniyakumari,11,Rural,43,Female,2,2,4,Self-employed in agriculture,Literate,Below Primary,Employed,Employed,0.0,22175.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Chennai,07,Rural,30,Female,1,5,4,Regular wage/salary earning,Literate,Below Primary,Employed,Employed,52000.0,12321.0,Others,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Tirunelveli,24,Urban,47,Male,3,2,4,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,8536.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Chennai,05,Rural,25,Female,2,2,3,Regular wage/salary earning,Literate,Primary,Not in labour force,Not in labour force,0.0,3542.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Salem,22,Rural,36,Male,1,1,3,Self-employed in non-agriculture,Illiterate,Diploma/Certificate,Employed,Employed,0.0,10483.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Salem,30,Urban,75,Female,3,1,2,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,8040.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thoothukudi,36,Rural,22,Female,1,1,6,Regular wage/salary earning,Illiterate,Diploma/Certificate,Employed,Employed,0.0,14567.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Perambalur,02,Urban,60,Male,3,6,4,Self-employed in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,18620.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Cuddalore,01,Urban,2,Male,1,6,4,Casual labour in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,12236.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Tiruchirappalli,19,Rural,61,Female,2,1,2,Others,Illiterate,Not literate,Employed,Employed,0.0,8481.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Virudhunagar,31,Urban,4,Female,1,2,4,Others,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,8148.0,Others,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Vellore,33,Rural,56,Female,1,1,3,Regular wage/salary earning,Literate,Diploma/Certificate,Employed,Employed,0.0,8871.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thoothukudi,09,Rural,23,Female,1,4,3,Self-employed in non-agriculture,Illiterate,Secondary,Employed,Employed,0.0,11733.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Coimbatore,19,Rural,34,Female,2,4,5,Others,Literate,Not literate,Not in labour force,Not in labour force,0.0,29560.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Coimbatore,09,Urban,54,Female,2,2,2,Self-employed in non-agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,7125.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Coimbatore,33,Urban,19,Female,1,5,5,Self-employed in agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,13843.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thiruvallur,25,Urban,14,Male,2,2,5,Regular wage/salary earning,Literate,Primary,Not in labour force,Not in labour force,0.0,5610.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thiruvarur,32,Rural,32,Male,2,1,2,Casual labour in non-agriculture,Literate,Middle,Employed,Employed,0.0,5786.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Dindigul,02,Rural,32,Female,1,1,6,Self-employed in agriculture,Literate,Primary,Employed,Employed,0.0,19645.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thanjavur,29,Urban,8,Male,1,5,4,Self-employed in agriculture,Literate,Below Primary,Employed,Employed,0.0,7158.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Virudhunagar,26,Urban,25,Male,2,5,6,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,13000.0,15370.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Krishnagiri,37,Rural,66,Male,2,2,3,Self-employed in agriculture,Literate,Higher Secondary,Employed,Employed,0.0,8543.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Erode,20,Rural,1,Male,1,5,3,Regular wage/salary earning,Illiterate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,2871.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Kancheepuram,01,Urban,29,Male,2,5,5,Self-employed in non-agriculture,Literate,Not literate,Not in labour force,Not in labour force,0.0,16913.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thanjavur,18,Rural,8,Male,2,5,4,Self-employed in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,7967.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Salem,22,Rural,7,Male,1,5,4,Regular wage/salary earning,Illiterate,Middle,Not in labour force,Not in labour force,0.0,12550.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Madurai,30,Urban,25,Male,3,7,5,Self-employed in non-agriculture,Literate,Middle,Unemployed,Unemployed,16250.0,21600.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Tenkasi,29,Urban,11,Male,2,5,13,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,7000.0,24920.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Dindigul,07,Urban,13,Male,1,5,5,Regular wage/salary earning,Literate,Secondary,Not in labour force,Not in labour force,0.0,19343.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thoothukudi,11,Urban,48,Male,2,1,6,Regular wage/salary earning,Literate,Not literate,Not in labour force,Not in labour force,0.0,12980.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Kanniyakumari,03,Rural,4,Female,1,3,5,Self-employed in non-agriculture,Literate,Below Primary,Employed,Employed,0.0,15995.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Virudhunagar,27,Urban,73,Male,3,1,4,Self-employed in non-agriculture,Literate,Not literate,Unemployed,Not in labour force,0.0,11512.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Coimbatore,02,Urban,43,Male,2,4,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,28875.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Mayiladuthurai,34,Urban,45,Male,2,5,5,Self-employed in non-agriculture,Literate,Not literate,Not in labour force,Not in labour force,0.0,15308.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Mayiladuthurai,24,Urban,11,Male,1,5,4,Regular wage/salary earning,Literate,Below Primary,Not in labour force,Not in labour force,0.0,12933.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Tirunelveli,26,Rural,17,Male,1,2,5,Regular wage/salary earning,Literate,Middle,Not in labour force,Not in labour force,0.0,12500.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Cuddalore,23,Rural,19,Female,1,1,4,Regular wage/salary earning,Illiterate,Higher Secondary,Employed,Employed,0.0,11233.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Kancheepuram,06,Rural,48,Female,2,1,4,Self-employed in non-agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,17750.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Cuddalore,04,Urban,40,Male,2,4,6,Regular wage/salary earning,Literate,Not literate,Not in labour force,Not in labour force,0.0,11617.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Madurai,30,Rural,16,Female,1,2,5,Casual labour in agriculture,Illiterate,Higher Secondary,Employed,Employed,0.0,10290.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Krishnagiri,07,Urban,40,Male,2,5,4,Self-employed in non-agriculture,Illiterate,Not literate,Employed,Employed,15000.0,26522.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
