district,district_code,urban_rural,age,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,individual_income,consumption_expenditure,social_group,synthetic_data_label
Sivaganga,21,Rural,11,Male,1,6,6,Self-employed in agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,21180.0,Other Backward Class,RESAMPLED_BASELINE
Namakkal,08,Rural,41,Male,2,1,5,Casual labour in non-agriculture,Illiterate,Not literate,Employed,Employed,0.0,13108.0,Other Backward Class,RESAMPLED_BASELINE
Tiruvannamalai,05,Rural,3,Female,1,5,4,Self-employed in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,8766.0,Other Backward Class,RESAMPLED_BASELINE
The Nilgiris,10,Rural,16,Female,1,6,6,Casual labour in agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,16843.0,Scheduled Tribe,RESAMPLED_BASELINE
Tirunelveli,27,Rural,11,Female,1,5,4,Regular wage/salary earning,Literate,Primary,Not in labour force,Not in labour force,0.0,18967.0,Other Backward Class,RESAMPLED_BASELINE
Theni,23,Rural,70,Female,2,2,2,Others,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,8685.0,Other Backward Class,RESAMPLED_BASELINE
Salem,07,Rural,60,Female,2,2,3,Others,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,3900.0,Scheduled Caste,RESAMPLED_BASELINE
Thiruvarur,18,Rural,60,Female,2,7,4,Self-employed in agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,12975.0,Scheduled Caste,RESAMPLED_BASELINE
Thanjavur,19,Rural,9,Female,1,5,7,Self-employed in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,18595.0,Scheduled Caste,RESAMPLED_BASELINE
Coimbatore,31,Rural,20,Male,1,5,4,Regular wage/salary earning,Literate,Secondary,Employed,Employed,20000.0,21413.0,Other Backward Class,RESAMPLED_BASELINE
Tenkasi,33,Rural,14,Female,1,5,5,Casual labour in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,19267.0,Scheduled Caste,RESAMPLED_BASELINE
Ramanathapuram,25,Rural,23,Female,1,5,6,Self-employed in non-agriculture,Literate,Diploma/Certificate,Unemployed,Unemployed,0.0,15753.0,Other Backward Class,RESAMPLED_BASELINE
Tirunelveli,27,Rural,43,Female,2,2,3,Self-employed in agriculture,Literate,Below Primary,Employed,Employed,0.0,9600.0,Other Backward Class,RESAMPLED_BASELINE
Pudukkottai,20,Rural,25,Female,2,4,5,Regular wage/salary earning,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,12247.0,Scheduled Caste,RESAMPLED_BASELINE
Kallakurichi,34,Rural,29,Female,2,4,6,Casual labour in non-agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,12817.0,Other Backward Class,RESAMPLED_BASELINE
Cuddalore,16,Rural,40,Female,2,2,5,Casual labour in agriculture,Literate,Middle,Employed,Employed,0.0,8392.0,Scheduled Caste,RESAMPLED_BASELINE
Ranipet,35,Rural,16,Female,1,5,2,Self-employed in agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,4715.0,Other Backward Class,RESAMPLED_BASELINE
Kallakurichi,34,Rural,47,Female,2,2,2,Self-employed in agriculture,Illiterate,Not literate,Employed,Employed,0.0,7933.0,Other Backward Class,RESAMPLED_BASELINE
Pudukkottai,20,Rural,21,Male,1,5,5,Casual labour in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,10325.0,Scheduled Caste,RESAMPLED_BASELINE
Coimbatore,31,Rural,17,Female,1,5,4,Casual labour in non-agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,14559.0,Scheduled Caste,RESAMPLED_BASELINE
Tiruppur,32,Rural,45,Male,2,1,3,Casual labour in non-agriculture,Illiterate,Not literate,Employed,Employed,0.0,8534.0,Other Backward Class,RESAMPLED_BASELINE
Cuddalore,16,Rural,39,Male,2,1,5,Regular wage/salary earning,Literate,Middle,Employed,Employed,18500.0,12700.0,Other Backward Class,RESAMPLED_BASELINE
Cuddalore,16,Rural,18,Male,1,5,5,Casual labour in non-agriculture,Literate,Diploma/Certificate,Unemployed,Unemployed,0.0,12467.0,Other Backward Class,RESAMPLED_BASELINE
Krishnagiri,30,Rural,10,Female,1,5,7,Casual labour in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,14286.0,Other Backward Class,RESAMPLED_BASELINE
Kancheepuram,03,Rural,70,Female,3,7,4,Regular wage/salary earning,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,22592.0,Other Backward Class,RESAMPLED_BASELINE
Viluppuram,06,Rural,71,Female,3,1,1,Casual labour in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,3042.0,Other Backward Class,RESAMPLED_BASELINE
Salem,07,Rural,40,Male,2,1,4,Casual labour in non-agriculture,Literate,Middle,Employed,Employed,0.0,15183.0,Scheduled Caste,RESAMPLED_BASELINE
Namakkal,08,Rural,40,Female,2,2,3,Casual labour in agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,11142.0,Other Backward Class,RESAMPLED_BASELINE
Theni,23,Rural,34,Male,3,1,3,Casual labour in non-agriculture,Literate,Middle,Employed,Employed,0.0,8303.0,Scheduled Caste,RESAMPLED_BASELINE
Tenkasi,33,Rural,17,Male,1,5,4,Regular wage/salary earning,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,19503.0,Scheduled Caste,RESAMPLED_BASELINE
Thoothukudi,26,Rural,16,Male,1,5,5,Self-employed in agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,10143.0,Scheduled Caste,RESAMPLED_BASELINE
Viluppuram,06,Rural,14,Female,1,5,4,Self-employed in agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,10767.0,Other Backward Class,RESAMPLED_BASELINE
Krishnagiri,30,Rural,38,Male,2,1,4,Regular wage/salary earning,Literate,Middle,Employed,Employed,16500.0,12271.0,Other Backward Class,RESAMPLED_BASELINE
Kallakurichi,34,Rural,47,Female,2,2,2,Self-employed in agriculture,Illiterate,Not literate,Employed,Employed,0.0,7933.0,Other Backward Class,RESAMPLED_BASELINE
Salem,07,Rural,60,Male,2,1,4,Regular wage/salary earning,Illiterate,Not literate,Employed,Employed,0.0,11767.0,Scheduled Caste,RESAMPLED_BASELINE
Thanjavur,19,Rural,0,Male,1,6,5,Casual labour in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,9207.0,Other Backward Class,RESAMPLED_BASELINE
