district,district_code,urban_rural,age,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,individual_income,consumption_expenditure,social_group,synthetic_data_label
Thanjavur,19,Urban,15,Female,1,5,4,Self-employed in agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,15683.0,Other Backward Class,RESAMPLED_BASELINE
Krishnagiri,30,Rural,48,Female,2,2,4,Regular wage/salary earning,Literate,Primary,Not in labour force,Not in labour force,0.0,11086.0,Scheduled Caste,RESAMPLED_BASELINE
Chennai,02,Urban,77,Female,2,2,2,Self-employed in agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,33925.0,Other Backward Class,RESAMPLED_BASELINE
Ranipet,35,Rural,9,Male,1,5,4,Casual labour in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,8961.0,Other Backward Class,RESAMPLED_BASELINE
Dindigul,11,Rural,41,Female,2,2,5,Casual labour in non-agriculture,Literate,Higher Secondary,Employed,Employed,0.0,16097.0,Scheduled Caste,RESAMPLED_BASELINE
Thiruvallur,01,Rural,62,Male,2,1,2,Self-employed in agriculture,Illiterate,Not literate,Employed,Employed,0.0,9783.0,Scheduled Caste,RESAMPLED_BASELINE
Salem,07,Rural,6,Male,1,6,7,Casual labour in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,21017.0,Scheduled Caste,RESAMPLED_BASELINE
Dharmapuri,29,Urban,48,Male,2,1,5,Self-employed in agriculture,Literate,Middle,Employed,Employed,0.0,14889.0,Scheduled Caste,RESAMPLED_BASELINE
Tirupathur,36,Urban,37,Female,4,3,5,Self-employed in non-agriculture,Literate,Primary,Employed,Employed,8000.0,9469.0,Other Backward Class,RESAMPLED_BASELINE
Tenkasi,33,Urban,18,Male,1,5,4,Self-employed in non-agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,15755.0,Other Backward Class,RESAMPLED_BASELINE
Thanjavur,19,Urban,66,Male,3,1,4,Self-employed in agriculture,Literate,Secondary,Employed,Employed,0.0,32644.0,Other Backward Class,RESAMPLED_BASELINE
Chennai,02,Urban,60,Male,2,1,2,Others,Literate,Primary,Not in labour force,Not in labour force,0.0,10267.0,Others,RESAMPLED_BASELINE
Dharmapuri,29,Urban,40,Female,2,2,4,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,0.0,13113.0,Other Backward Class,RESAMPLED_BASELINE
Salem,07,Rural,62,Male,2,1,3,Others,Literate,Middle,Not in labour force,Not in labour force,0.0,10883.0,Scheduled Caste,RESAMPLED_BASELINE
Coimbatore,31,Urban,54,Male,2,1,5,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,95800.0,41120.0,Other Backward Class,RESAMPLED_BASELINE
The Nilgiris,10,Rural,79,Male,2,1,5,Self-employed in agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,13558.0,Scheduled Caste,RESAMPLED_BASELINE
Kallakurichi,34,Urban,16,Female,1,5,6,Self-employed in agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,16483.0,Other Backward Class,RESAMPLED_BASELINE
Ariyalur,15,Rural,65,Female,3,1,1,Casual labour in agriculture,Illiterate,Not literate,Employed,Employed,0.0,5325.0,Scheduled Caste,RESAMPLED_BASELINE
Krishnagiri,30,Rural,24,Female,2,4,8,Regular wage/salary earning,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,17230.0,Other Backward Class,RESAMPLED_BASELINE
Krishnagiri,30,Rural,56,Female,2,1,2,Casual labour in agriculture,Illiterate,Not literate,Employed,Employed,0.0,4053.0,Other Backward Class,RESAMPLED_BASELINE
Tirunelveli,27,Urban,60,Female,3,1,9,Self-employed in agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,37205.0,Other Backward Class,RESAMPLED_BASELINE
Krishnagiri,30,Rural,20,Female,1,5,3,Self-employed in agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,5019.0,Other Backward Class,RESAMPLED_BASELINE
Viluppuram,06,Rural,42,Female,2,2,3,Regular wage/salary earning,Literate,Secondary,Not in labour force,Not in labour force,0.0,15458.0,Other Backward Class,RESAMPLED_BASELINE
Thiruvallur,01,Urban,28,Female,2,2,3,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,15650.0,Other Backward Class,RESAMPLED_BASELINE
Thiruvallur,01,Urban,29,Male,1,5,5,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,45000.0,16110.0,Other Backward Class,RESAMPLED_BASELINE
Kallakurichi,34,Rural,25,Female,2,2,4,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,8733.0,Other Backward Class,RESAMPLED_BASELINE
