district,district_code,urban_rural,age,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,individual_income,consumption_expenditure,social_group,synthetic_data_label
Cuddalore,27,Urban,23,Male,2,5,4,Self-employed in non-agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,14798.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Viluppuram,31,Rural,25,Male,1,5,4,Casual labour in agriculture,Illiterate,Secondary,Not in labour force,Not in labour force,0.0,10504.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Ranipet,23,Rural,4,Female,1,5,2,Others,Illiterate,Not literate,Employed,Employed,0.0,8775.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thanjavur,02,Rural,67,Female,2,1,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,15397.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Cuddalore,35,Urban,29,Female,2,2,4,Self-employed in agriculture,Literate,Not literate,Employed,Employed,10000.0,13032.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Mayiladuthurai,34,Rural,22,Male,1,2,8,Self-employed in agriculture,Literate,Below Primary,Employed,Employed,0.0,15357.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Madurai,31,Rural,16,Female,1,5,4,Regular wage/salary earning,Illiterate,Below Primary,Employed,Employed,0.0,11957.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Chennai,08,Urban,69,Female,2,1,5,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,16223.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Chennai,16,Urban,60,Male,2,4,3,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,105000.0,17587.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Krishnagiri,32,Urban,46,Male,2,5,5,Others,Literate,Middle,Not in labour force,Not in labour force,0.0,10325.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Kancheepuram,33,Rural,64,Female,2,1,3,Self-employed in agriculture,Literate,Below Primary,Employed,Employed,0.0,3733.0,Others,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Tiruvannamalai,03,Rural,53,Male,2,1,4,Regular wage/salary earning,Literate,Not literate,Not in labour force,Not in labour force,0.0,14900.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thoothukudi,07,Rural,52,Female,1,3,6,Casual labour in non-agriculture,Literate,Middle,Employed,Employed,0.0,21287.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Tirunelveli,14,Urban,37,Male,2,2,3,Self-employed in agriculture,Literate,Primary,Not in labour force,Not in labour force,15000.0,9147.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Dharmapuri,02,Rural,63,Female,2,1,2,Regular wage/salary earning,Literate,Higher Secondary,Employed,Employed,0.0,8367.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Tenkasi,19,Urban,40,Female,2,1,4,Self-employed in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,12000.0,24808.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Madurai,11,Urban,4,Female,1,4,5,Others,Literate,Below Primary,Not in labour force,Not in labour force,0.0,12417.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Chennai,08,Urban,53,Male,2,2,2,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,0.0,11372.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thiruvarur,21,Urban,62,Female,3,2,4,Regular wage/salary earning,Literate,Diploma/Certificate,Employed,Employed,0.0,13453.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Chennai,01,Rural,68,Female,3,2,3,Casual labour in agriculture,Illiterate,Middle,Employed,Employed,0.0,8317.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thanjavur,21,Urban,31,Male,2,6,3,Self-employed in non-agriculture,Literate,Secondary,Not in labour force,Not in labour force,36580.0,10560.0,Scheduled Tribe,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Dharmapuri,11,Rural,31,Female,1,5,6,Regular wage/salary earning,Literate,Below Primary,Not in labour force,Not in labour force,0.0,9783.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thiruvallur,21,Rural,35,Female,2,2,4,Casual labour in agriculture,Literate,Higher Secondary,Employed,Employed,0.0,23237.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Pudukkottai,22,Urban,57,Female,2,5,5,Others,Literate,Primary,Not in labour force,Not in labour force,0.0,12663.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Madurai,05,Urban,30,Female,2,2,5,Regular wage/salary earning,Literate,Not literate,Employed,Employed,0.0,26328.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
The Nilgiris,31,Urban,69,Male,4,3,4,Self-employed in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,15899.0,14623.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Tirunelveli,11,Urban,43,Male,3,4,5,Self-employed in agriculture,Literate,Secondary,Employed,Employed,25000.0,22651.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thanjavur,18,Urban,41,Male,2,1,5,Regular wage/salary earning,Literate,Middle,Not in labour force,Not in labour force,5200.0,13412.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Ramanathapuram,22,Urban,55,Male,2,1,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,12053.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
The Nilgiris,03,Rural,4,Female,1,5,3,Self-employed in agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,9747.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Pudukkottai,29,Urban,62,Male,2,5,6,Self-employed in non-agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,22970.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thanjavur,21,Rural,52,Male,2,2,4,Regular wage/salary earning,Illiterate,Not literate,Employed,Employed,0.0,15983.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Pudukkottai,03,Rural,1,Female,1,5,4,Self-employed in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,11175.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Tirupathur,07,Rural,70,Female,2,1,3,Regular wage/salary earning,Illiterate,Below Primary,Employed,Employed,0.0,10875.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Madurai,02,Urban,71,Male,3,2,4,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,0.0,10083.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Tirunelveli,09,Urban,11,Male,1,7,4,Self-employed in non-agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,22843.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Krishnagiri,19,Rural,25,Male,1,1,5,Others,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,9307.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Sivaganga,11,Rural,45,Female,1,2,6,Regular wage/salary earning,Literate,Diploma/Certificate,Employed,Employed,0.0,27903.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Ramanathapuram,02,Rural,34,Female,1,1,3,Casual labour in agriculture,Illiterate,Higher Secondary,Not in labour force,Not in labour force,0.0,13843.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Chennai,29,Rural,32,Female,2,1,6,Self-employed in agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,19017.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Chennai,05,Urban,37,Female,1,6,4,Self-employed in non-agriculture,Literate,Below Primary,Not in labour force,Employed,0.0,21230.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Dindigul,32,Rural,73,Female,3,1,2,Self-employed in non-agriculture,Illiterate,Secondary,Employed,Employed,0.0,10067.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Coimbatore,19,Rural,46,Female,2,5,4,Regular wage/salary earning,Literate,Below Primary,Not in labour force,Not in labour force,0.0,14920.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Cuddalore,18,Rural,54,Female,2,1,3,Casual labour in non-agriculture,Illiterate,Not literate,Employed,Employed,0.0,8943.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thiruvallur,24,Urban,13,Female,1,5,4,Self-employed in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,12550.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thanjavur,30,Urban,43,Male,2,2,4,Self-employed in non-agriculture,Literate,Not literate,Employed,Employed,15000.0,9101.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Pudukkottai,20,Urban,27,Male,1,7,6,Regular wage/salary earning,Literate,Middle,Not in labour force,Not in labour force,0.0,29382.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Tirupathur,19,Rural,15,Female,1,2,1,Regular wage/salary earning,Literate,Not literate,Not in labour force,Not in labour force,0.0,2100.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Perambalur,14,Urban,20,Male,2,5,4,Self-employed in agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,17083.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Mayiladuthurai,01,Urban,17,Female,1,5,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,23322.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thanjavur,19,Urban,22,Female,2,7,4,Self-employed in agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,17959.0,Others,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Coimbatore,18,Urban,34,Male,2,3,7,Self-employed in agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,32827.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Madurai,19,Urban,25,Male,2,5,2,Self-employed in non-agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,9083.0,Others,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thiruvallur,16,Urban,60,Female,2,5,5,Self-employed in non-agriculture,Literate,Not literate,Not in labour force,Not in labour force,0.0,16557.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Tirupathur,30,Urban,76,Male,3,3,6,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,25264.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Tiruppur,23,Rural,30,Male,1,1,4,Self-employed in agriculture,Illiterate,Not literate,Employed,Employed,0.0,10339.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Tiruvannamalai,26,Urban,35,Female,2,4,2,Regular wage/salary earning,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,8580.0,Scheduled Caste,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Ranipet,02,Rural,47,Female,1,4,4,Regular wage/salary earning,Illiterate,Diploma/Certificate,Employed,Employed,0.0,13267.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Unknown,15,Urban,40,Male,2,6,6,Regular wage/salary earning,Literate,Not literate,Not in labour force,Not in labour force,0.0,27750.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
Thiruvallur,16,Urban,46,Male,2,1,3,Casual labour in agriculture,Literate,Primary,Employed,Employed,0.0,12750.0,Other Backward Class,SYNTHETIC_GAUSSIAN_COPULA_CANDIDATE
