district,district_code,urban_rural,age,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,individual_income,consumption_expenditure,social_group,training_split,survey_weight,normalized_reference_weight,calibrated_reference_weight_gender_ur
Kallakurichi,34,Rural,52,Male,2,1,4,Casual labour in agriculture,Illiterate,Not literate,Employed,Employed,0.0,8600.0,Scheduled Caste,train,1717200,0.6779486914643922,0.6801079054720423
Kallakurichi,34,Rural,59,Male,2,1,4,Casual labour in non-agriculture,Illiterate,Not literate,Employed,Employed,0.0,7355.0,Scheduled Caste,train,2164422,0.8545114504290372,0.8572330031316147
Kallakurichi,34,Rural,57,Male,2,1,2,Self-employed in non-agriculture,Literate,Secondary,Employed,Employed,0.0,7437.0,Other Backward Class,train,2083901,0.8227218472462953,0.8253421525280074
Kallakurichi,34,Rural,58,Male,2,1,2,Self-employed in agriculture,Literate,Primary,Employed,Employed,0.0,7933.0,Other Backward Class,train,6060269,2.3925876068438274,2.400207812827363
Kallakurichi,34,Rural,50,Male,3,1,3,Regular wage/salary earning,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,4155.0,Scheduled Tribe,train,5514875,2.1772666491030104,2.1842010745342
Kallakurichi,34,Rural,50,Male,2,1,4,Self-employed in agriculture,Literate,Middle,Employed,Employed,0.0,13967.0,Other Backward Class,validation,2286374,0.9026579673294947,0.9055328629546558
Kallakurichi,34,Rural,53,Male,2,1,2,Self-employed in non-agriculture,Literate,Primary,Employed,Employed,0.0,9133.0,Other Backward Class,train,2411367,0.952005067720951,0.95503713003401
Kallakurichi,34,Rural,51,Male,2,1,3,Self-employed in agriculture,Literate,Primary,Employed,Employed,0.0,7550.0,Other Backward Class,holdout,3701995,1.4615435977508284,1.466198500767513
Kallakurichi,34,Rural,50,Male,2,1,4,Casual labour in non-agriculture,Literate,Primary,Employed,Employed,0.0,8067.0,Scheduled Caste,train,2901441,1.1454857496570798,1.149134032937752
Kallakurichi,34,Rural,45,Male,2,3,5,Regular wage/salary earning,Literate,Middle,Employed,Employed,12000.0,10117.0,Scheduled Caste,holdout,8597049,3.3941055904992203,3.404915553593358
Kallakurichi,34,Rural,53,Male,2,1,4,Self-employed in agriculture,Literate,Below Primary,Employed,Employed,0.0,12433.0,Other Backward Class,holdout,1379384,0.5445793022518747,0.5463137450976284
Kallakurichi,34,Rural,49,Male,2,1,3,Self-employed in non-agriculture,Illiterate,Not literate,Employed,Employed,0.0,9403.0,Other Backward Class,train,1379384,0.5445793022518747,0.5463137450976284
Kallakurichi,34,Rural,50,Male,2,1,3,Self-employed in agriculture,Illiterate,Not literate,Employed,Employed,0.0,11283.0,Other Backward Class,train,426973,0.16856847579817488,0.16910535332117066
Kallakurichi,34,Rural,45,Male,2,1,5,Casual labour in agriculture,Literate,Primary,Employed,Employed,0.0,8833.0,Scheduled Caste,holdout,622184,0.24563756618336907,0.24641990278256296
Kallakurichi,34,Rural,32,Male,2,3,6,Casual labour in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,12817.0,Other Backward Class,train,2903525,1.1463085105894184,1.1499594142998553
Kallakurichi,34,Rural,36,Male,2,1,4,Casual labour in non-agriculture,Literate,Secondary,Employed,Employed,0.0,9917.0,Scheduled Caste,validation,1717200,0.6779486914643922,0.6801079054720423
Kallakurichi,34,Rural,26,Male,1,5,4,Casual labour in agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,8600.0,Scheduled Caste,validation,1717200,0.6779486914643922,0.6801079054720423
Kallakurichi,34,Rural,44,Male,2,1,4,Casual labour in agriculture,Illiterate,Not literate,Employed,Employed,0.0,9383.0,Other Backward Class,train,4676861,1.8464196337705852,1.8523003371150017
Kallakurichi,34,Rural,44,Male,2,1,4,Self-employed in agriculture,Literate,Primary,Employed,Employed,0.0,8317.0,Scheduled Caste,train,5526554,2.181877505594749,2.1888266162462946
Kallakurichi,34,Rural,29,Male,1,5,4,Casual labour in non-agriculture,Literate,Middle,Employed,Employed,0.0,7355.0,Scheduled Caste,validation,2164422,0.8545114504290372,0.8572330031316147
Kallakurichi,34,Rural,26,Male,1,5,4,Casual labour in non-agriculture,Literate,Middle,Employed,Employed,0.0,7355.0,Scheduled Caste,holdout,2164422,0.8545114504290372,0.8572330031316147
Kallakurichi,34,Rural,41,Male,2,1,4,Casual labour in non-agriculture,Literate,Secondary,Employed,Employed,0.0,8903.0,Other Backward Class,holdout,10315390,4.072504747522057,4.085475359321715
Kallakurichi,34,Rural,33,Male,2,3,4,Casual labour in agriculture,Literate,Primary,Employed,Employed,0.0,6258.0,Scheduled Tribe,train,5514875,2.1772666491030104,2.1842010745342
Kallakurichi,34,Rural,26,Male,1,5,3,Regular wage/salary earning,Literate,Primary,Employed,Employed,7500.0,4155.0,Scheduled Tribe,validation,5514875,2.1772666491030104,2.1842010745342
Kallakurichi,34,Rural,41,Male,2,2,5,Casual labour in non-agriculture,Literate,Middle,Employed,Employed,0.0,9067.0,Other Backward Class,train,3701995,1.4615435977508284,1.466198500767513
Kallakurichi,34,Rural,41,Male,2,3,7,Casual labour in agriculture,Literate,Secondary,Employed,Employed,0.0,10888.0,Scheduled Tribe,train,7436731,2.936013306675216,2.9453642813702574
Kallakurichi,34,Rural,32,Male,2,1,5,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,0.0,8375.0,Scheduled Caste,train,2901441,1.1454857496570798,1.149134032937752
Kallakurichi,34,Rural,31,Male,2,1,4,Regular wage/salary earning,Literate,Secondary,Employed,Employed,0.0,11158.0,Scheduled Caste,holdout,1148336,0.4533618032619696,0.454805725447323
Kallakurichi,34,Rural,37,Male,2,1,4,Casual labour in non-agriculture,Literate,Secondary,Employed,Employed,0.0,9183.0,Scheduled Tribe,holdout,746731,0.29480858626013107,0.2957475287450755
Kallakurichi,34,Rural,43,Male,2,1,3,Casual labour in agriculture,Illiterate,Not literate,Employed,Employed,0.0,9933.0,Other Backward Class,train,426973,0.16856847579817488,0.16910535332117066
